# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O
d__Bacteria;p__Bdellovibrionota	0.03414116398372546	0.017660093812218086	3.772327463172653e-05	0.0009937302790640496	0.04559778956015234	0.0	0.00018324211063043254	0.0006550763215904837	0.002005003715412587	0.0	0.0	0.005001994660447417	0.0003039421294185587	0.00023521377897492318	0.0001301320840653263	0.0034808996786861836	0.010179219508216776	0.0	0.0053705692803437165	0.010167743982234207	0.0458590628405376	0.0036638215383990825	0.0	0.0	0.005381827453694429	0.0	0.001641234396508112	0.0043588603699107956	0.03175783324482209	0.0	0.0008795074758135445	0.012881221854436338	0.00279136690647482	0.00560384263494968	0.10578026180320635	0.0015526727348417512	0.017672517432075017	0.003688512835221569	0.0019063922499319146	0.00027938683901730334	0.01765020994335862	0.0041906178397716765	0.004668811964063169	0.0032549752296385025	0.0003272501172646254	0.0013336178384722075	0.007382205674669406
d__Bacteria;p__Deinococcota	0.0	0.00017997547834107603	0.0	0.0	0.0	0.0	0.0011711560983771122	0.0	4.3969379723960234e-05	0.0	0.0	0.001994660447417682	0.003069815507127443	0.0	0.0	0.0008330358205402833	0.04690494637687069	0.0	0.0027816794734087965	0.0016060594043700678	0.0	0.00023342907308359804	0.0	0.002504696305572949	0.007621978982643379	0.0	0.0	0.0	0.0	0.0	0.0	0.001969913248688566	0.0	0.0002744739249771272	0.006787762906309751	0.0	0.000379159191373666	0.02543525025096802	7.781192856864957e-05	0.0	0.000567201569257675	0.0	0.00034411562284927734	3.9059702755662026e-05	0.009097553259956585	0.00392083644510829	0.010936898189754782
d__Bacteria;p__Proteobacteria	0.3675432906814474	0.7114993082192551	0.360131528484216	0.5406814735893128	0.6387275035471586	0.6907538462471422	0.8302700032664898	0.40219606538285574	0.5836055770761241	0.5223927341058565	0.7465430628204465	0.5850799398533157	0.5371569253214188	0.550392655260063	0.711571530818066	0.7585088658812329	0.5553612934795906	0.5516653614041553	0.5587687166634535	0.49766823967958124	0.5773338176534689	0.5567790847550517	0.9424011103400416	0.8259236067626801	0.7569207933414683	0.007085675673139189	0.5735025942092074	0.36513180392578337	0.48716587006549833	0.9050248481501932	0.6972295514511874	0.3856732175765316	0.7760863309352518	0.6368824336688015	0.41820120605971467	0.7143644730476265	0.5424380860783842	0.4753018786748889	0.7588122009103996	0.44668367822086463	0.44748658804622693	0.5777022952928408	0.5526589907181786	0.5602658663767569	0.5993913147818878	0.4910069703759024	0.4800038515855694
d__Bacteria;p__WPS-2	7.862098787271262e-05	0.0	0.0	0.0	0.00014935404376073482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.070033005804469e-05	0.0010410566725226104	0.0	0.0	0.0	0.0	0.0	7.264802034144569e-05	0.0	0.0	0.0	4.553153514123882e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0002021840294503688	0.0	0.0	0.0008236505368436535	0.0	0.0	0.0	0.0	0.0	0.00019694498932558158	0.0001959641435864453	0.0	0.0	0.0	0.0	5.616895622031069e-05
d__Bacteria;p__Verrucomicrobiota	0.015724197574542523	0.028469870980078964	0.005520172521109316	0.0002151374830963406	0.017056231797475917	6.064244607370483e-05	0.00020714325549527155	0.00011437840535706858	0.004607990995071033	0.07655138472551563	0.0010271548673330226	0.003467640470126124	9.118263882556761e-05	0.001138131188588338	0.0019240958143944675	0.0003570153516601214	0.00048423928556864986	0.0024646427419726356	0.0010373920148356239	0.0018202006582860768	0.01681801670904468	0.06322883153525287	0.002081887578070784	0.0068879148403256105	0.006155863551095489	0.0	0.005864912879278092	0.013191384380892828	0.0007080899274207824	0.0	0.0158311345646438	0.07441808563764203	0.0005563549160671463	0.0192131747483989	0.01831151639947051	0.002885946061499342	0.0006011060351045924	0.011180266743152159	0.00013617087499513675	0.0	0.010977713705007917	0.006692929211721671	0.001441565447071297	0.014243771604898087	0.0010144753635203385	5.779010633379565e-05	0.015350173321350623
d__Bacteria;p__Bacteroidota	0.3110344556479352	0.08763680948470771	0.1855293518512697	0.340849485718969	0.08492270928235382	0.12123637819055069	0.0710660707314547	0.42841991432017634	0.3920969436884154	0.20006775024447612	0.1960398432509883	0.3368521189431368	0.04850916385520197	0.4092188626275655	0.20301534629077084	0.16577412828751636	0.33380907719283937	0.12675634587920948	0.3533100149641503	0.26682396795812346	0.25444969124591355	0.29403943936426097	0.0	0.06261740763932373	0.10677144990620503	0.730960179441217	0.20558960904502513	0.601451894986761	0.36101964949548593	0.03257868580894534	0.11609498680738786	0.4131293668435869	0.2013812949640288	0.13178179322964317	0.3486321517870275	0.2747443153050777	0.3597018514065881	0.4027420048759501	0.23410691358985333	0.3269477919126823	0.43743451579104925	0.3157032600393938	0.4143524115994866	0.271790431674815	0.2011824637570495	0.42365037874746614	0.40210553344460137
d__Bacteria;p__Firmicutes	0.058415393989425475	0.005781712241707067	0.37113415025180285	0.01940335204687948	0.0019864087820177733	0.040694113437759624	0.03239401834014516	0.024310610156802397	0.00011871732525469263	0.11655598662891402	0.021993198335836482	0.013195446036763127	0.3488343819336798	0.007966918320118366	0.0362696708587788	0.008717124836367964	0.0014374260897932554	0.03729211775003455	0.00034885749171463456	0.13530158226593172	0.0034144569560479476	0.04728461093462971	0.02498265093684941	0.039448966812773954	0.011947474821061068	0.21656828057398667	0.024300857677329788	0.00024059834487879706	0.035404496371039124	0.027609055770292656	0.10356200527704486	0.0013037002991881704	0.00017266187050359714	0.04141125343092406	0.00019120458891013384	0.0014514114695259848	0.013372297334788319	0.00251254840097519	0.0003696066607010855	0.042848628210620424	0.006999424920631169	0.017747316798649354	0.001822882758877253	0.04133818541640898	0.007221319254306066	0.00021782424695046055	0.005785402490692001
d__Bacteria;p__Planctomycetota	0.00027517345755449416	0.00487058638260537	0.0	0.00029709461951399417	0.008572922111866178	0.0	0.0002310444003601106	0.0	0.002268819993756348	0.0	0.00011221019559100247	0.0013502316874827386	0.00033433634236041456	0.0	0.00011154178634170827	0.0	0.0012233413530155365	0.0	0.0027174162512508377	0.0005194908196851331	0.0025063567017798763	0.0	0.0	0.0	0.015494381408563572	0.0	0.00020000705907267314	0.0005153934088266617	0.02662418127102142	0.0	0.0006596306068601583	0.04148749994475846	0.00014388489208633093	3.43092406221409e-05	0.009471981173702015	9.001001361401457e-05	3.699114062182107e-05	0.0038032410727090204	1.9452982142162394e-05	0.0	0.012084544545017686	0.0010551915423885516	0.0009207418016777962	0.0	0.012053712652580368	5.33447135388883e-05	0.00057773783540891
d__Bacteria;p__Chloroflexi	0.0003931049393635631	0.0	0.0	0.0	0.00013441863938466135	0.0	7.967048288279675e-05	0.0	0.0	0.0	0.0	9.206125141927762e-05	9.118263882556761e-05	0.0	0.00012083693520351728	0.0	0.00041797496228030827	0.0	0.00020197012678215687	5.5518102867113454e-05	7.264802034144569e-05	7.104363093848637e-05	0.0	0.0	0.0008013550184858033	0.0	0.0	2.931147348777223e-05	0.0013099663657284476	0.0	0.0	0.0005292139350094353	0.0	0.0	0.0013457861450213266	0.0	0.0	0.0011817008461207515	0.0	0.0	0.0003623787803590701	0.0	7.440337791335726e-05	0.0	0.00022907508208523775	0.0	0.00039318269354217487
d__Bacteria;p__Patescibacteria	0.03273581382550072	0.0873668462671961	0.0	8.195713641765357e-05	0.07745500709431707	2.425697842948193e-05	0.00010357162774763578	0.0028698581707773574	0.0004440907352119984	0.0	0.0	0.0018412250283855525	0.0012765569435579465	0.0012367692249326606	0.0036251080561055184	0.003302392002856123	0.01308975247726624	0.0001382042659050076	0.017828453918679484	0.008573581314192806	0.050671994188158376	0.0036841197186672217	0.0	0.002504696305572949	0.008004443877829785	0.0	0.0012529853994846876	0.0024939178692512873	0.0	0.0	0.0006596306068601583	0.012078009890444982	0.014743405275779376	0.00011436413540713633	0.002331225180173555	0.001187007054534817	0.0061220337729113875	0.014111573210956546	0.0016632299731548846	0.0006984670975432584	0.0023712176714800024	0.000849177955541263	0.01169993117687543	0.0003840870770973433	0.0001527167213901585	0.0001155802126675913	0.009861663884965977
