# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales	0.0005798297855612556	0.0033407948167062237	0.0	0.0009937302790640496	0.008423568068105444	0.0	5.576933801795773e-05	0.0003223391423699206	0.00015389282903386083	0.0	0.0	0.0002761837542578329	0.00024315370353484696	6.070033005804469e-05	8.36563397562812e-05	0.0005355230274901821	0.007875259960037516	0.0	0.0023501978389196434	0.0007812190189158107	0.009171812568107519	0.00352173427652211	0.0	0.0	0.001816708252135429	0.0	0.0009765050531195218	0.003312196504118262	0.0009559214020180563	0.0	0.0008795074758135445	0.002072662509556786	0.0022062350119904078	0.00010292772186642269	0.0026548021767907044	0.0011307507960260578	0.0014611500545619325	0.001038290549261437	0.0006224954285491966	0.00027938683901730334	0.0006656740639204657	0.0004723238332596374	0.00021390971150090214	0.0007746841046539635	7.635836069507925e-05	8.44624631032398e-05	0.0071174091667736555
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales	0.0	0.00017997547834107603	0.0	0.0	0.0	0.0	0.0011711560983771122	0.0	4.3969379723960234e-05	0.0	0.0	0.001994660447417682	0.002644296525941461	0.0	0.0	0.0008330358205402833	0.046894751865595566	0.0	0.0027816794734087965	0.0016060594043700678	0.0	0.00023342907308359804	0.0	0.002504696305572949	0.007621978982643379	0.0	0.0	0.0	0.0	0.0	0.0	0.001969913248688566	0.0	0.0002744739249771272	0.006787762906309751	0.0	0.000379159191373666	0.02543525025096802	7.781192856864957e-05	0.0	0.000567201569257675	0.0	0.00034411562284927734	3.9059702755662026e-05	0.009097553259956585	0.00392083644510829	0.010936898189754782
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.005700021620771665	0.003442031023273079	0.027506554418967263	0.166137360160636	0.005809872302292585	0.004044851153116112	0.01228518846052726	0.048839579087468284	0.029973926157823693	0.06843413845337697	0.06890569164638252	0.029152729616104583	0.2243396857238382	0.028991995143973597	0.057239526691019955	0.11418540997262883	0.021576683113811525	0.02075367393006864	0.09175870078125717	0.005321806717690447	0.0007991282237559027	0.059625904537658196	0.010409437890353921	0.005009392611145898	0.40472526271695775	3.754000356630034e-05	0.18031224631457582	0.0001929672004611672	0.004779607010090282	0.013804527885146328	0.02264731750219877	0.004608249108401575	0.00019184652278177457	0.013895242451967063	0.019833799088101192	0.0002193994081841605	0.07280781252889933	0.02336440556431952	0.0013130762945959616	0.0012758665648456853	0.008267750651887914	0.01485307713952647	0.023027845464184075	0.015461132340782887	0.04413513248175581	0.03346491696006259	0.023598985749133394
d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2	7.862098787271262e-05	0.0	0.0	0.0	0.00014935404376073482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.070033005804469e-05	0.0010410566725226104	0.0	0.0	0.0	0.0	0.0	7.264802034144569e-05	0.0	0.0	0.0	4.553153514123882e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0002021840294503688	0.0	0.0	0.0008236505368436535	0.0	0.0	0.0	0.0	0.0	0.00019694498932558158	0.0001959641435864453	0.0	0.0	0.0	0.0	5.616895622031069e-05
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales	0.0	0.0008998773917053801	0.0	0.0	0.0013441863938466133	0.0	0.0	0.00011437840535706858	0.0	0.0003067935598918553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3621366538446284e-05	0.0	0.0003552181546924318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011436413540713633	0.0	0.0	0.0	0.0	1.9452982142162394e-05	0.0	0.0	2.5123608152108374e-05	0.0	0.00023435821653397217	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales	0.011341077500638796	0.0055005005567991365	0.0011568470887062803	0.0011166659836905298	0.0018967963557613321	6.064244607370483e-06	0.0017288494785566895	0.04169612777107682	0.013590935272676108	0.0	0.0	0.008960628471476356	0.004255189811859822	3.0350165029022344e-05	0.004666164728628129	0.014191360228489824	0.05688537291522244	0.0	0.05112598345681053	0.010929135107268905	0.002088630584816564	0.021455176543422882	0.0	0.0	0.004147922851366856	0.0	0.0058119698342294435	0.17171760349392765	0.0209948663480262	0.0	0.006376429199648197	0.07843745994988488	0.0019568345323741007	0.008222781335773102	0.04918370348580674	0.0015132933538856198	0.03709286625853108	0.07938046751756776	0.0018674862856475898	0.03146827096798227	0.08693151828831171	0.0063411986975921535	0.04190770260969848	0.04693023286092793	0.0004581501641704755	0.006339130125537893	0.046395557837976636
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales	0.09797157851288402	0.06665841779057603	0.020829534809151666	0.30609965987788385	0.07425883055783736	0.014020533532240557	0.01669096616394592	0.3552801231127563	0.34954337799156665	0.07050499498264699	0.18957480967424517	0.3106146622886427	0.033585605300750734	0.3866079896809439	0.13890670459087404	0.14313340473640365	0.26409900909350403	0.047772607914497625	0.29476621957824967	0.04301859856446048	0.24589538685070833	0.21410520546832976	0.0	0.0012523481527864746	0.057392500045531536	0.0001220050115904761	0.15024647928750426	0.42924698824609914	0.28688263409453	0.027056874654886803	0.04551451187335093	0.31434313391874635	0.19843645083932854	0.04804437328453797	0.2837770260332402	0.26914681758345615	0.2793478461908373	0.2758984655098236	0.23007041979535464	0.0798487585911453	0.32083914321051843	0.2680638742613659	0.3634977027957069	0.10524636907513134	0.11653376675793309	0.3943330132650521	0.3254750288868918
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	0.05712797531300981	0.2528655470692118	0.012989380898191169	0.07353604065073967	0.20763199163617355	0.023171478644762614	0.05512400710660707	0.09928045584993553	0.05355030756581117	0.005611765533021853	0.1585443748165795	0.021757142418755947	0.006929880550743139	0.2534542281573656	0.10422650418746456	0.05968106628585029	0.039228479386698205	0.04454784171004745	0.04331341173446437	0.008359440060276797	0.2880857246640029	0.08651084430280825	0.0	0.021289918597370068	0.012207004571366128	4.692500445787542e-05	0.08469710695671612	0.002898171941103479	0.004779607010090282	0.0	0.04617414248021108	0.0065892106647103795	0.4685275779376499	0.2108302836230558	0.014818355640535373	0.17784853564959102	0.06427210683041412	0.03989100817438692	0.3300295685328561	0.1581422637784276	0.05203680507960516	0.10349419142179524	0.006752106545637172	0.01845570955205031	0.012664579538141001	0.17891816920943135	0.010375208627551676
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	0.0022210429074041313	0.0011360952070280424	0.009022149849421263	0.0	5.974161750429393e-05	1.5160611518426207e-05	0.0	2.0796073701285196e-05	0.0	0.00523466511565478	8.63155350700019e-05	0.0	0.0	0.0	0.0001673126795125624	0.0037189099131262645	0.0	0.00023034044317501266	0.0	0.027556806915969387	0.0	0.01270666084785499	0.0	0.004383218534752661	0.0	0.09789494430001972	1.176512112192195e-05	5.740163558022062e-05	0.0	0.0	0.026385224274406333	0.0	0.0	0.007307868252516011	0.0	0.0001631431496754014	0.0002681857695082028	0.0	0.0	0.0037251578535640447	0.0	0.0007888812959762029	0.0	0.0017446667230862373	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales	0.00014741435226133616	0.000989865130875918	0.0	0.0	0.001150026136957658	0.0	0.0	0.0	0.0001714805809234449	0.0	0.0	0.00018412250283855524	0.0	0.0	0.0	0.0	4.5875300738082614e-05	0.0	0.00034885749171463456	7.93115755244478e-06	0.0003087540864511442	0.0	0.0	0.0	0.0015617316553444916	0.0	7.647328729249268e-05	0.00011968851674173661	0.011506461320587715	0.0	0.0	0.022376137423269504	2.8776978417266186e-05	0.0	0.00013237240770701573	3.937938095613137e-05	0.0	0.0016979779148142836	0.0	0.0	0.0040610056798934925	0.00012059331913012019	0.0002697122449359201	0.0	0.009882953541391685	1.3336178384722074e-05	0.00032898960071896266
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	0.12460443815476542	0.020775919280997965	0.05844592682942164	0.11379748391591198	0.03621835561197819	0.22084159586661087	0.304181903646518	0.005053445909412303	0.07340687944915161	0.0673092287337735	0.06881074455780552	0.3865345076257403	0.06510440412145528	0.028081490193102927	0.1360995696346077	0.267731762465786	0.11402560861232312	0.11871746441240152	0.010107686799416123	0.06048697307372011	0.1785688339992735	0.06294465701149891	0.0	0.0	0.07701659169140547	0.0	0.08137346023977317	0.009321048569111569	0.15202690741724198	0.0033130866924351186	0.001978891820580475	0.0033542661935044788	0.11604796163069545	0.07596065873741994	0.005647889395499338	0.48870936891729205	0.02372981670889822	0.011690807399971317	0.33134264482745207	0.006137197563746764	0.04409598310999772	0.04630783454596615	0.024013690221536058	0.039508889337352145	0.08481232205774873	0.1011326860841424	0.007237771215817178
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.19274917939343908	0.010663547091708754	0.1632286093314807	0.033418022374298244	0.0014337988201030543	0.10720978041370277	0.05084570217580089	0.030965353741213657	0.00011432038728229661	0.12954358066433588	0.006439138916222142	0.012029336852118943	0.01015166712257986	0.02217838309495808	0.05673758865248227	0.008122099250267762	0.005000407780451005	0.07631178882388169	0.002643972568784599	0.2022127929571321	0.0031783508899382493	0.05839786463143579	0.0	0.057608015028177834	0.03894312200630157	0.7308381744296266	0.04874289680812264	0.0001734262181359857	0.048150115064613204	0.0027609055770292656	0.06310466138962181	0.013231453205997905	0.00047002398081534775	0.07538883806038427	0.006133254890425062	0.003667908054771093	0.04041282112933952	0.014048472680338448	0.0007781192856864957	0.21563076235355474	0.015653187751597224	0.039891265023917676	0.00734733356894403	0.11201020760232015	0.04160439824157604	0.02284931896582382	0.01160290152779561
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales	0.0	0.0	0.0	0.0	5.974161750429393e-05	0.0	7.967048288279675e-05	0.0	0.0	0.0	0.0	0.0	9.118263882556761e-05	0.0	0.0	0.0	0.00041797496228030827	0.0	0.00020197012678215687	0.0	0.0	7.104363093848637e-05	0.0	0.0	0.0006419946454914674	0.0	0.0	1.221311395323843e-05	0.0	0.0	0.0	0.00012263621458464993	0.0	0.0	0.00124282982791587	0.0	0.0	0.0010440269611358096	0.0	0.0	0.000224517287831163	0.0	7.440337791335726e-05	0.0	0.0	0.0	0.00039318269354217487
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Campbellbacteria	0.00027517345755449416	0.012024611646663142	0.0	0.0	0.025136285564931672	0.0	5.576933801795773e-05	7.278625795449819e-05	0.0	0.0	0.0	0.00033755792187068465	0.0	0.0	0.0	0.00047602046888016187	0.0014782041348937731	0.0	0.014064465192284742	0.0018479597097196337	0.005775517617144933	0.0008322253909936974	0.0	0.0	0.0005736973427796091	0.0	0.0	7.816392930072595e-05	0.0	0.0	0.0006596306068601583	0.002315725277202038	0.004402877697841727	0.0	0.0006545080158846889	0.0005063063265788319	0.0014888934100282982	0.00938476982647354	0.0003015212232035171	0.0	0.0006932463624260472	0.00012561804076054186	0.009681739550975614	8.462935597060106e-05	0.0	2.667235676944415e-05	0.00425279239953781
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.04458792774731214	0.02995466867639284	0.0025023105505711934	0.03337704380608941	0.2206108580389814	0.00627649316862845	0.04257590605256659	0.020078609158590856	0.09068684568066798	0.008219510792102622	0.36898164931724414	0.04394390401080185	0.033737576365460015	0.07642930308433551	0.21889146054674066	0.14337141497084374	0.19670309505362313	0.025406550882203897	0.13777116784635582	0.05589086727207836	0.02842353795859063	0.03392840831819428	0.005551700208188758	0.006261740763932373	0.05049902562514798	0.0	0.039789639634340034	0.21853657583366715	0.03965303593556382	0.0	0.18447669305189093	0.17939358049134033	0.14695443645083933	0.028042086001829825	0.22244447712898957	0.024308329301634807	0.06242254979932306	0.158198766671447	0.06639302805120025	0.0053921659930339545	0.15003663176801454	0.08097338907424528	0.17123007384535258	0.01667198312620841	0.045073249484581066	0.022507023720615953	0.08866670946206189
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade	4.9138117420445386e-05	0.0	0.0	0.0	0.00020909566126502875	0.0	0.0	0.0	0.006643773276290391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.264802034144569e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.587704813920996e-05	0.0	0.0	0.0	0.000226490306214894	0.0	4.574565416285453e-05	6.618620385350787e-05	0.0	0.0	0.0	1.9452982142162394e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales	0.0	4.499386958526901e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0012443334461880746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041797496228030827	0.0	0.0015790391730241353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.250250340350364e-05	2.7743355466365807e-05	0.0	0.0	0.0	6.696129637069774e-05	0.0	0.0006882312456985547	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	2.948287045226723e-05	0.001124846739631725	0.0	0.0	0.002628631170188933	6.064244607370483e-06	0.0	0.0	0.0004968539908807506	0.0	0.0	0.00018412250283855524	0.0	0.0	0.0	0.0	0.0	0.0	0.0003672184123311943	0.0	0.00034507809662186705	0.0	0.0	0.0	0.0	0.0	0.0	3.6639341859715286e-06	0.0	0.0	0.0	1.2153138382262604e-05	6.714628297362111e-05	0.0	8.824827180467715e-05	0.0009169770136927733	4.6238925777276346e-05	2.294564749749032e-05	0.01065050772283391	0.0	0.00011422809380883732	0.00014571692728222857	4.650211119584829e-05	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales	9.827623484089077e-05	0.0017772578486181258	0.0	0.0	0.011291165708311552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002361060661096985	0.0	0.0	0.0	0.0	0.0	0.0	2.442622790647686e-06	0.0	0.0	0.0	0.00016351495277953324	0.0	0.0	3.6770113251948816e-05	0.0	0.0	7.457335436684353e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.2725011726462536e-05	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales	0.00191638657939737	0.0	0.0006098596065462456	0.0	0.0	0.0	0.002533521355672937	0.0	8.793875944792048e-06	0.0	0.0	0.0003682450056771105	0.0007902495364882526	0.0	0.0007714973555301488	0.0	0.0011876605635525834	0.0	8.262414277451872e-05	0.0	0.0	0.0	0.0	0.0	0.0056595698180559855	0.0	0.00015882913514594633	0.0	0.0	0.0	0.0	4.861255352905042e-05	0.0	0.0	0.00041182526842182675	0.0	0.0	0.0002237200631005306	0.0	0.018988992158542717	0.0010398695436390707	0.0008692768420629497	0.0008649392682427783	3.9059702755662026e-05	0.0025307342401797695	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis	0.000766554631758948	0.32563188265598814	3.1436062193105445e-05	0.0005941892390279883	0.013441863938466135	0.0	0.0009241776014404424	0.00023915484756477977	1.319081391718807e-05	0.0	0.0	0.001994660447417682	0.0	0.0006904662544102583	0.0012548450963442179	0.0008330358205402833	0.005194103494678465	0.0	0.028688938463374555	0.003989372248879724	0.007046857973120232	0.018999096730978066	0.0	0.0	0.0021399821516382245	0.0	0.0005411955716084098	0.0009184261692835299	0.002301292264117543	0.0	0.0	0.04897383318823223	0.00030695443645083935	0.0002516010978956999	0.011957640829533754	0.000376916932008686	0.016636765494664026	0.028091208948802526	0.0007781192856864957	3.725157853564045e-05	0.014392739819913502	0.021892712143747238	0.00843548297092688	0.0011132015285363677	0.0002945251055381628	0.0001378071766421281	0.06254012068301451
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.002437250624054091	0.001833500185599712	0.001980471918165643	0.0011678891939515634	0.0007617056231797476	0.0006761632737218088	0.029294836556004365	0.0012061722746745415	0.005984232580430988	0.0004921480023265179	0.008243133599185182	0.0021480958664498112	0.014406856934439683	0.006555635646268826	0.038165881226587844	0.0008925383791503035	0.0032622436080414303	0.0014741788363200811	0.007206661341999688	0.0021731371693698696	0.0035052669814747547	0.01799433680770519	0.1825121443442054	0.058860363180964305	0.006451818529513541	7.508000713260068e-05	0.0051060625669141265	0.00036272948441118136	0.01249778721897681	0.024295969077857537	0.0505716798592788	0.005410356241630907	0.0	0.0	0.008413001912045888	0.00031503504764905096	0.0009802652264782584	0.006051914527463072	4.863245535540598e-05	0.0023095978692097077	0.008315017449326055	0.02294790368613579	0.003180744405796023	0.008488975398897215	0.00577051040109956	0.0005112201714143462	0.048024457568365646
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales	0.0011793148180906893	0.011957120842285238	0.0	0.0	0.00875214696437906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002905435713411899	0.0	0.0010373920148356239	2.7759051433556727e-05	0.006429349800217944	0.0	0.0	0.0	2.276576757061941e-05	0.0	0.0	0.007940966692395626	0.0003186404673393521	0.0	0.0008795074758135445	0.0012672408840413826	1.918465227817746e-05	0.0	0.0001617884983085748	0.0	0.0	0.0005392227161910225	1.9452982142162394e-05	0.0	0.00016937269082000015	0.0005275957711942758	0.0005580253343501795	0.0	7.635836069507925e-05	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	0.008402618078896161	0.008211381199311594	0.002464587275939467	0.12005696020981027	0.023732357553580764	0.07320452877787278	0.35018364046304484	0.004325583329867321	0.16468291481812067	0.13249646867829498	0.05870319540110829	0.00042961917328996225	0.0021883833318136225	0.0013809325088205166	0.04439363096399989	0.03638581459002737	0.0024160991722056843	0.08492652139862718	0.009171279847971578	0.3119205298013245	0.02795132582637123	0.023556038201175265	0.0	0.002504696305572949	0.0025224470468246307	0.00039417003744615355	0.07985575961504524	0.106339583190847	0.03933439546822447	0.013804527885146328	0.0006596306068601583	0.005614749932605323	0.00015347721822541968	0.07901418115279049	0.0015149286659802911	0.01085183226633963	0.015989420533782158	0.0010268177255126918	0.001731315410652453	0.008707556482705955	0.008149583658292566	0.041664991759456524	0.006742806123398002	0.007929119659399393	0.2943505721422883	0.010291084320210534	0.0016449480035948133
