# Constructed from biom file
#OTU ID	16S0064C	16S0073C	16S0074C	16S0084C	16S0087C	16S0088C	16S0089C	16S0090C	16S0092C	16S0093C	16S0094C	16S0113C	16S0117C	16S0118C	16S0119C	16S0120C	16S0123C	16S0141C	16S0142C	16S0143C	16S0146C
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera	0.0	0.0	0.0	0.0	0.0	0.0003682450056771105	0.0	0.0008330358205402833	0.0	0.001670843776106934	0.00023342907308359804	0.0	0.0	0.0	0.0	0.0	0.000379159191373666	0.0	0.0	3.9059702755662026e-05	0.00304509406451154
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallaceae	0.0	0.0	0.0	0.00011437840535706858	0.0003067935598918553	0.0	0.0	0.0	0.0	0.0	0.0003552181546924318	0.0	0.0	0.0	0.0	0.00011436413540713633	0.0	0.0	2.5123608152108374e-05	0.00023435821653397217	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured	0.0022112152839200423	0.0011316982389517958	0.0	0.041249012186499186	0.0	0.005216804247092399	0.0	0.004224681661311436	0.0	0.011787711035831337	0.007723457592026875	0.0	0.0	0.00021242697822623473	0.0	0.0026189387008234218	0.005428449886252243	0.03146827096798227	0.001155685974996985	0.02705535410875523	0.001773711725168036
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum	0.027743381095583466	0.007701835237310833	0.009160041479433114	0.005968473152268851	0.000415449612353554	0.07303525945929358	0.05217193368488941	0.058044745924074735	0.0072787580043304	0.0988092942980161	0.14081862561021405	0.0	0.0	0.06956983536909188	0.0021987686895338612	0.03811756633119854	0.0884643127970851	0.004628508633053326	0.1405766370543072	0.039202921665766124	0.090019204096874
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00034506906455836233	0.0	0.0	0.0	0.0	4.574565416285453e-05	0.0	0.0	0.0	7.811940551132405e-05	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Leisingera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019472473004071517	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade;f__KI89A_clade;g__KI89A_clade	4.9138117420445386e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.574565416285453e-05	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0.00044224305678400847	0.003206478343696755	0.08802554259828624	0.0	0.010271192723879405	0.0	3.0350165029022344e-05	0.0	0.05758511079375317	0.0	0.002811297967137246	0.0	0.0006475650615186809	0.00010621348911311737	0.0028583992963940193	0.0006518755718206771	0.0	0.0	0.0006883868633677695	0.00115226123129203	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sedimentitalea	0.001031900465829353	6.287212438621089e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4263222157959e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00022194684373092645	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Photobacterium	0.0	0.0	1.2128489214740966e-05	0.0	0.00028122742990086734	0.0	0.0	0.0026478638581459	0.0009443958170175519	0.0	0.0014716180694400746	0.0	0.0003097050294219778	0.0	0.0	0.0006633119853613907	0.00023119462888638171	0.0012386149863100448	0.0024269405474936687	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Vicingus	0.0006191402794976119	0.0	0.0	0.0	0.0	0.0015957283579341455	0.00040972722789180165	0.0	0.0	0.000257052888631836	0.00023342907308359804	0.0	0.0	0.00201805629314923	0.0	0.0001486733760292772	0.000897035160079161	0.0	0.00010551915423885517	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Sedimenticola	0.0	0.0	9.096366911055724e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula	0.0	0.0	0.0	0.0	0.0	0.0006444287599349434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	0.008402618078896161	0.002464587275939467	0.07319240028865805	0.004325583329867321	0.13221524124839412	0.00042961917328996225	0.0013809325088205166	0.032934666190646195	0.08398212558160961	0.008813241895948664	0.02208442013173519	0.002504696305572949	8.446500802417576e-05	0.03933439546822447	0.0006596306068601583	0.07835086916742909	0.015758225904895777	0.007468941496395909	0.03827832938055232	0.007929119659399393	0.010291084320210534
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0	0.0035082645407505672	0.0005730711153965107	0.0020068211121740216	0.011543107690931054	0.013962623131923773	0.009363025911453394	0.0014280614066404856	0.001382042659050076	0.00022951150770699643	0.01015923922420355	0.005009392611145898	0.0	0.0015223933439546822	0.02264731750219877	3.43092406221409e-05	0.00023119462888638171	0.0	0.0005677935442376492	0.005579027543600393	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter	0.005346227175344458	0.0015718031096552721	1.819273382211145e-05	0.0054797654202886495	0.007337479307413538	0.0008592383465799245	0.0021927994233468646	0.0010115434963703439	0.0002073063988575114	0.0035528381393043046	0.0003552181546924318	0.0	4.692500445787542e-05	0.02471233846698531	0.025505716798592787	0.007182067703568161	0.0018125658904692326	0.0005680865726685169	0.00011556859749969851	0.0	0.00017337031900138697
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__dgA-11_gut_group	9.827623484089077e-05	0.00282924559737949	0.0	0.0005926881004866281	0.006775024447611804	0.0	4.552524754353352e-05	0.0	0.0	0.0	0.00029432361388801495	0.0	0.0	0.0	0.0	0.009618023787740165	0.00046238925777276343	0.0	1.5074164891265023e-05	0.00010415920734843207	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0011989700650588675	0.007154847755150798	0.0	0.001528511417044462	0.037384073579322115	0.0	0.0005083652642361243	0.0	0.0010595660386050582	0.0	0.0014817671595741442	0.0	0.028877647743376537	0.0	0.0037379067722075636	0.07017383348581885	0.0018495570310910537	0.0	0.0024319652691240905	0.0006314651945498695	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.590230154139929e-05	0.0	0.0	0.0	0.002053460789520269	0.0	0.0	0.0	0.0	4.522249467379507e-05	6.509950459277006e-05	0.0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190	0.0	0.0	0.0	0.0	0.0	0.0005216804247092398	0.0	0.0	0.0	0.0016983851570317736	0.0	0.0	0.0	0.00807222517259692	0.0	3.43092406221409e-05	0.0	0.0	0.0008290790690195763	0.0	2.222696397453679e-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	0.0	0.01612669990506309	0.0	0.0	5.113225998197588e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.019411396368190358	0.0007414150704344317	0.0	0.0	0.0010292772186642268	0.0	0.0	0.0	0.00010415920734843207	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	0.007547614835780411	2.5148849754484355e-05	6.064244607370483e-06	0.0004159214740257039	0.0	0.0015036671065148679	3.0350165029022344e-05	0.006426276329882185	0.0	0.03547329863119337	0.01367082441059159	0.0	0.0	0.015117719950433706	0.0013192612137203166	0.005123513266239707	0.025052249986128323	0.0	0.0029243879889054147	0.002532370728658755	0.0043431487606244885
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.008717102030387011	0.006790189433710776	0.00015160611518426207	0.009410223349831551	0.0006263701847792045	0.0048485592414152885	0.014006601160893813	0.011126978460073784	0.0012668724374625697	0.002643972568784599	0.00025372725335173703	0.0	0.0	0.0	0.0	0.005558096980786825	0.011892651709915476	0.016381381661047887	0.004085098685532821	0.024894050556275266	2.667235676944415e-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__	0.033708748550425535	0.0026343420117822362	0.0002698588850279865	0.00020796073701285196	0.00026844436490537334	0.1699450701199865	0.029234796464205775	0.013269070570034512	0.0030635278942276684	0.08001689204696724	0.006201094071916453	0.0	0.0	0.04291024960169942	0.0	0.006987648673376029	0.016951190189949505	0.026001601817877033	0.009190215862041242	0.0009113930642987806	0.0015425512998328533
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0.0006093126560135228	0.00525610959868723	0.0	0.0	0.0006902855097566744	0.0	0.0	0.0	0.0002533744874925139	0.0	0.000568349047507891	0.002504696305572949	6.569500624102559e-05	0.0	0.0043975373790677225	0.017177493138151874	0.00030517691013002386	0.0	0.0006733126984765044	9.764925688915508e-05	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae;g__Bernardetia	0.0	0.0	0.0	0.0	0.0	0.0	1.5175082514511172e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
