# Constructed from biom file
#OTU ID	16S0064C	16S0073C	16S0074C	16S0084C	16S0087C	16S0088C	16S0089C	16S0090C	16S0092C	16S0093C	16S0094C	16S0113C	16S0117C	16S0118C	16S0119C	16S0120C	16S0123C	16S0141C	16S0142C	16S0143C	16S0146C
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__uncultured_organism	0.0	0.0	0.0	0.0	0.0	12.0	0.0	25.0	0.0	61.0	23.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	6.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallaceae;s__uncultured_bacterium	0.0	0.0	0.0	11.0	48.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	5.0	36.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__uncultured_Bacteroidetes	0.0	0.0	0.0	0.0	0.0	46.0	0.0	97.0	0.0	867.0	124.0	0.0	0.0	6.0	0.0	0.0	213.0	0.0	5.0	12.0	42.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;__	1332.0	938.0	134.0	111.0	0.0	251.0	20.0	353.0	0.0	2578.0	3299.0	0.0	0.0	1544.0	0.0	436.0	2209.0	338.0	19988.0	326.0	68.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	12.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Leisingera;s__Leisingera_methylohalidivorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade;f__KI89A_clade;g__KI89A_clade;s__uncultured_gamma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__uncultured_bacterium	39.0	504.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	277.0	0.0	40.0	0.0	13.0	57.0	0.0	0.0	137.0	177.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__uncultured_bacterium	1404.0	231.0	2760.0	463.0	43.0	1964.0	6842.0	1598.0	316.0	6664.0	2583.0	0.0	0.0	389.0	10.0	2897.0	7264.0	159.0	6930.0	5689.0	20174.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sedimentitalea;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
