# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	0.0012087976885429565	0.009032519319242753	0.0	0.0009937302790640496	0.01620491374803973	0.0	0.00011153867603591545	0.0003223391423699206	0.002005003715412587	0.0	0.0	0.00039893208948353637	0.0003039421294185587	0.00023521377897492318	0.0001301320840653263	0.0005355230274901821	0.009659299433185173	0.0	0.00514105777263672	0.002034341912202086	0.014747548129313476	0.0036638215383990825	0.0031052506966324877	0.0	0.0015529959880936975	0.004301458734330575	0.003505045140732873	0.007341600413648637	0.002580335731414868	0.00010292772186642269	0.0035593469627886454	0.001316396449104963	0.0018310614607801431	0.002954252115301879	0.0010504610356767692	0.00027938683901730334	0.005404170507093959	0.0015375648189090325	0.004668811964063169	0.0032549752296385025	7.635836069507925e-05	8.44624631032398e-05	0.007277891898831686
d__Bacteria;p__Deinococcota;c__Deinococci	0.0	0.00017997547834107603	0.0	0.0	0.0	0.0	0.0011711560983771122	0.0	4.3969379723960234e-05	0.0	0.0	0.001994660447417682	0.003069815507127443	0.0	0.0	0.0008330358205402833	0.04690494637687069	0.0	0.0027816794734087965	0.0016060594043700678	0.0	0.00023342907308359804	0.007621978982643379	0.0	0.0	0.0	0.0	0.001969913248688566	0.0	0.0002744739249771272	0.006787762906309751	0.0	0.000379159191373666	0.02543525025096802	7.781192856864957e-05	0.0	0.000567201569257675	0.0	0.00034411562284927734	3.9059702755662026e-05	0.009097553259956585	0.00392083644510829	0.010936898189754782
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.3160760264952729	0.6444921879393932	0.354190112729719	0.4902573454083514	0.3463520274811441	0.6837102261356814	0.7545432092863915	0.38075531339683066	0.4200262936890749	0.5134957208689928	0.36697049735011306	0.5340473194832295	0.47311631865292847	0.46422094920141127	0.4356357417064034	0.6082054028323218	0.34303510989683156	0.5151564011609159	0.4078603101159492	0.43208946345719157	0.527388303668725	0.4942302422587815	0.6845028866993279	0.0067759706437172116	0.5204360153887784	0.12605643435695513	0.3189237033103204	0.17812081545348885	0.6128441247002399	0.6070448307410796	0.17387851154581557	0.6868045320041855	0.4772134573769582	0.300461781155887	0.6892775162432401	0.42810445342621395	0.2817376850298175	0.46359589178759497	0.37379327021446773	0.5078802950309548	0.4978565117319167	0.4677886838081013	0.3346145204775966
d__Bacteria;p__WPS-2;c__WPS-2	7.862098787271262e-05	0.0	0.0	0.0	0.00014935404376073482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.070033005804469e-05	0.0010410566725226104	0.0	0.0	0.0	0.0	0.0	7.264802034144569e-05	0.0	4.553153514123882e-05	0.0	0.0	0.0	0.0	0.0002021840294503688	0.0	0.0	0.0008236505368436535	0.0	0.0	0.0	0.0	0.0	0.00019694498932558158	0.0001959641435864453	0.0	0.0	0.0	0.0	5.616895622031069e-05
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.004845018377655916	0.0011923375440096287	0.0	0.00012293570462648036	0.001553282055111642	0.0	0.0	0.00011437840535706858	0.0	0.0003067935598918553	0.0	0.0001227483352257035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1552524090891064e-05	0.00010897203051216854	0.004668581461671961	0.0	0.0	2.9412802804804875e-05	0.0	0.0	3.2040092098692325e-05	0.00014388489208633093	0.00011436413540713633	0.0	0.0	0.0	2.86820593718629e-05	1.9452982142162394e-05	0.0	0.00036631768014558174	0.0018490975599951762	0.0	0.005364199178444252	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.3100713485464945	0.0871081315170808	0.1855293518512697	0.34081875179281235	0.08492270928235382	0.12123637819055069	0.07070755355848211	0.42841991432017634	0.3733220185462844	0.20006775024447612	0.1960398432509883	0.33590081934513766	0.04850916385520197	0.40889259835350356	0.2007008542241804	0.16571462572890636	0.33380907719283937	0.12675634587920948	0.3533100149641503	0.26671293175238925	0.25444969124591355	0.29403943936426097	0.10598830750177574	0.730960179441217	0.20534842406202572	0.6014152556449013	0.35797486280757657	0.40847913416622844	0.20129496402877697	0.13178179322964317	0.34848507133401974	0.2746936846724198	0.359618621340189	0.4021167359816435	0.23405828113449792	0.3269477919126823	0.4371469761066339	0.3157032600393938	0.41413850188798573	0.271790431674815	0.20109519705911227	0.4235925886411323	0.40210553344460137
d__Bacteria;p__Firmicutes;c__Clostridia	0.05689211234939167	0.005781712241707067	0.17117564585389775	0.016749989755357946	0.001553282055111642	0.002789552519390422	0.03217890803636161	0.02284448696086179	2.638162783437614e-05	0.07478732175613748	0.020301413848464445	0.001749163776966275	0.00382967083067384	0.007815167494973255	0.035293680228288854	0.006872545519457336	0.0013609672552297844	0.0029944257612751646	0.00034885749171463456	0.13436967125351945	0.0033236469306211405	0.04461540022936944	0.011296373868541352	0.19958142896023576	0.017571208395590433	0.00017586884092663337	0.03508585590369977	0.0012904423300438839	0.00017266187050359714	0.030054894784995425	0.00019120458891013384	0.0009676076463506565	0.012956147002792831	0.0024494478703570915	0.00024316227677702993	0.042112909534541526	0.006999424920631169	0.014230011657354182	0.0015345696694629937	0.04097362819068947	0.004788760049305684	0.00019115189018101638	0.005785402490692001
d__Bacteria;p__Planctomycetota;c__Phycisphaerae	0.00014741435226133616	0.001158592141820677	0.0	0.0	0.001239638563214099	0.0	0.0	0.0	0.0001714805809234449	0.0	0.0	0.00018412250283855524	0.0	0.0	0.0	0.0	4.5875300738082614e-05	0.0	0.00034885749171463456	7.93115755244478e-06	0.0003087540864511442	0.0	0.0015708379623727393	0.0	7.647328729249268e-05	0.00011968851674173661	0.011577270313329793	0.022379451915555574	2.8776978417266186e-05	0.0	0.00013237240770701573	3.937938095613137e-05	0.0	0.0016979779148142836	0.0	0.0	0.0041949282726348874	0.00012059331913012019	0.0002697122449359201	0.0	0.009882953541391685	1.3336178384722074e-05	0.00032898960071896266
d__Bacteria;p__Chloroflexi;c__Anaerolineae	0.0003931049393635631	0.0	0.0	0.0	5.974161750429393e-05	0.0	7.967048288279675e-05	0.0	0.0	0.0	0.0	9.206125141927762e-05	9.118263882556761e-05	0.0	0.00012083693520351728	0.0	0.00041797496228030827	0.0	0.00020197012678215687	5.5518102867113454e-05	7.264802034144569e-05	7.104363093848637e-05	0.0007603766368586883	0.0	0.0	2.931147348777223e-05	0.0013099663657284476	0.0005292139350094353	0.0	0.0	0.0013457861450213266	0.0	0.0	0.0011817008461207515	0.0	0.0	0.0003623787803590701	0.0	7.440337791335726e-05	0.0	0.00022907508208523775	0.0	0.00039318269354217487
d__Bacteria;p__Patescibacteria;c__Parcubacteria	0.00044224305678400847	0.04371154430208884	0.0	0.0	0.04746471510716153	0.0	5.576933801795773e-05	7.278625795449819e-05	6.155713161354433e-05	0.0	0.0	0.00033755792187068465	0.0	0.0	0.0	0.0005355230274901821	0.0023396403376422133	0.0	0.01413790887475098	0.0020581353848594204	0.024700326916091538	0.0008322253909936974	0.0007512703298304406	0.0	0.0	0.0014741228541558784	0.0	0.0034095077316056727	0.013026378896882494	0.0	0.0006912781291366377	0.001125125170175182	0.0017848225350028668	0.009436397533342893	0.00048632455355405985	0.0	0.0008626190532460473	0.00027133496804277043	0.009728241662171462	8.462935597060106e-05	9.81750351793876e-05	2.667235676944415e-05	0.004276864809346514
