# Constructed from biom file
#OTU ID	16S0064C	16S0064O	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0092O	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118O	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	16SNEGCTRL
d__Bacteria;p__Bacteroidota	0.31074128620520375	0.0	0.08749213907106279	0.1855293518512697	0.340849485718969	0.08462946700998705	0.12123637819055069	0.0710660707314547	0.42841991432017634	0.3835566356265726	0.20006775024447612	0.1960398432509883	0.33683144619350086	0.04849147753167441	0.4092188626275655	0.20301157224520147	0.16554264832585638	0.33380567420713	0.12675634587920948	1.0	0.35330028458643165	0.26680703924880844	0.2543249768547933	0.29403943936426097	0.0	0.062421972534332085	0.10677047762145427	0.730960179441217	0.20558960904502513	0.5925555147788734	0.3609940878677382	0.0	0.03257868580894534	0.11533420707732635	0.41026153034254476	0.19086842679467597	0.13077080212447229	0.34767080289829566	0.268066701063748	0.3559166941180777	0.40055683607567494	0.23186297648520812	0.3269477919126823	0.4373811089799889	0.31476694320868903	0.4143524115994866	0.2717833544901214	0.2011824637570495	0.42346965980590806	0.40210553344460137	0.04811715481171548
d__Bacteria;p__Proteobacteria	0.36722631320569465	1.0	0.7108974934866589	0.360131528484216	0.5406814735893128	0.6394987125485585	0.6907538462471422	0.8302700032664898	0.40219606538285574	0.5714402460267963	0.5223927341058565	0.7465430628204465	0.5850440332627573	0.5373256767842494	0.550392655260063	0.7115768926895013	0.7575388454796637	0.5553658263076876	0.5516653614041553	0.0	0.5587808684476269	0.4976366650012293	0.5775046744240928	0.5567790847550517	0.9196488858879136	0.8233458177278402	0.7569230068751992	0.007085675673139189	0.5735025942092074	0.37452246160140057	0.4871313767833752	0.9467455621301775	0.9050248481501932	0.6926605504587156	0.38307167864583963	0.7360080733144229	0.6319964592128557	0.4170846900759776	0.6976716103322977	0.5367848907433842	0.47277436728359845	0.7518471779359773	0.44668367822086463	0.44748315341323075	0.5761793114504429	0.5526589907181786	0.5602512775445107	0.5993913147818878	0.49079751875155525	0.4800038515855694	0.7573221757322176
d__Bacteria;p__Fusobacteriota	0.0011978399607265587	0.0	0.0015834156859221992	0.007154847755150798	0.0009322624267508093	0.0001786059803235745	0.10501755598813833	0.0	0.001528511417044462	0.0	0.05687824769745042	0.003944619952699087	0.0	0.0	0.0005387154292651466	0.002026304782265186	0.0	0.0	0.07297185239784401	0.0	3.672082989075553e-05	0.012304410236888646	0.0003630620654600904	0.0014817671595741442	0.0	0.0	0.0004780767654691982	0.028877647743376537	0.0006706119039495512	0.00012634086766094923	0.0	0.0	0.0	0.004150283966797728	0.0	5.4549421776129175e-05	0.06999863815879069	2.9334976091994484e-05	0.0014600463262819316	0.0019490501811793126	0.0001426321915150962	0.0003467974221391621	0.05173312969137067	0.0	0.004057953589034507	0.0	0.0006314487517495036	0.0035233929292157995	0.044874871138601544	0.0	0.0
d__Bacteria;p__Verrucomicrobiota	0.015709376534118802	0.0	0.028422873057227564	0.005520172521109316	0.0002151374830963406	0.01699733579412684	6.064244607370483e-05	0.00020714325549527155	0.00011437840535706858	0.004507623819867094	0.07655138472551563	0.0010271548673330226	0.003467427659639756	9.114939385653085e-05	0.001138131188588338	0.0019240600455453828	0.00035651683056537627	0.0004842343490361188	0.0024646427419726356	0.0	0.0010373634444138437	0.001820085175227808	0.016809773630802185	0.06322883153525287	0.002025658338960162	0.00686641697877653	0.006155807494422438	0.0	0.005864912879278092	0.012996263920056312	0.0007080397918363012	0.0	0.0	0.015727391874180863	0.07390149466285878	0.0005273110771692487	0.019065776930409915	0.018261022617266566	0.002815803629258011	0.0005947805717213864	0.011119605650516898	0.0001348656641652297	0.0	0.010976373425124749	0.00667307923530119	0.001441565447071297	0.014243400709566123	0.0010144753635203385	5.7765454480821866e-05	0.015350173321350623	0.0
d__Bacteria;p__Campilobacterota	0.049150711831124204	0.0	0.018035216961638668	0.04736785851257128	0.09334917837970741	0.008811228362629675	0.039505521494715014	0.020658556211509197	0.08587738634945723	0.006795845071937031	0.007337479307413538	0.023279299808379512	0.007364448126668508	0.004770151611825115	0.022610872946621646	0.021582934423943857	0.039424819513354525	0.009098508558204968	0.20138664946791357	0.0	0.01735059212338199	0.043927894490574416	0.015393831575507833	0.006617206767413302	0.0	0.0018726591760299626	0.04105085826162182	0.011825101123384607	0.15064649340564962	0.0023138427477333847	0.026055864339575883	0.0	0.0	0.025338575797291395	0.0167657220473469	0.0003727543821368827	0.07347133324254392	0.0035715333392003284	0.00042264498918687495	0.025831777753376525	0.0073141787808941325	0.00027936459005654723	0.0923746018737544	0.018597213962482623	0.04452727345597371	0.007300831457748182	0.05856849917000293	0.15037142888309535	0.03362838150083538	0.0635190653485685	0.0
d__Bacteria;p__Firmicutes	0.05836033382425135	0.0	0.005772167819602911	0.37113415025180285	0.01940335204687948	0.0019795496152529507	0.040694113437759624	0.03239401834014516	0.024310610156802397	0.00011613152971031634	0.11655598662891402	0.021993198335836482	0.013194636226947743	0.34870719776380155	0.007966918320118366	0.03626899660733374	0.008704952612971271	0.001437411436086163	0.03729211775003455	0.0	0.00034884788396217755	0.13529299802526706	0.00341278341532485	0.04728461093462971	0.024307900067521943	0.03932584269662921	0.011947366024677867	0.21656828057398667	0.024300857677329788	0.00023703953265911428	0.03540198959181506	0.033136094674556214	0.027609055770292656	0.10288335517693316	0.0012946503511464787	0.00016364826532838753	0.04109355849107994	0.00019067734459796414	0.0014161351585742043	0.013231580103217306	0.002498915995344485	0.0003660639455913378	0.042848628210620424	0.006998570353945705	0.017694681575888743	0.001822882758877253	0.04133710900628194	0.007221319254306066	0.0002177313284277132	0.005785402490692001	0.0794979079497908
d__Bacteria;p__Planctomycetota	0.000274914089347079	0.0	0.004862546042583775	0.0	0.00029709461951399417	0.008543319392144314	0.0	0.0002310444003601106	0.0	0.002219402567797157	0.0	0.00011221019559100247	0.0013501488232225598	0.0003342144441406131	0.0	0.00011153971278523958	0.0	0.001223328881775458	0.0	0.0	0.0027173414119159092	0.0005194578604680672	0.002505128251674624	0.0	0.0	0.0	0.01549424031325411	0.0	0.00020000705907267314	0.0005077699633611484	0.026622296173044926	0.0	0.0	0.000655307994757536	0.041199504521950356	0.00013637355444032293	3.4046030232874844e-05	0.009445862301622225	8.782233541545454e-05	3.6601881336700707e-05	0.003782605718980351	1.9266523452175673e-05	0.0	0.012083069131066642	0.001052062041601539	0.0009207418016777962	0.0	0.012053712652580368	5.332195798229711e-05	0.00057773783540891	0.0
d__Bacteria;p__Spirochaetota	0.08132547864506627	0.0	0.0	0.00045267929558071837	0.000235626767200754	0.0	9.096366911055725e-05	0.015177226989172782	0.043079066672212285	6.021634873868255e-05	0.0	0.00013810485611200304	0.01847249071772684	0.0006684288882812262	0.0008118669145263477	0.0005669935399916345	0.0004159363023262723	0.0011162876046201054	0.0029022895840051595	0.0	0.0009914624070503993	0.0001546477599866765	0.00010891861963802712	0.0	0.0	0.0018726591760299626	0.008919546510039612	0.00039417003744615355	0.002164782286433639	0.0	0.001203667646121712	0.0	0.0	0.00327653997378768	0.0006089245295646574	2.7274710888064588e-05	0.0	0.00017600985655196692	0.0	0.009324329270524505	0.003149318788653324	0.0	0.007161615973476876	0.0012130330157654908	0.0018686625786541622	0.00016740760030505385	0.03929954757022426	0.0004690585014126297	0.0	0.00019257927846963666	0.0
d__Bacteria;p__Actinobacteriota	0.00898379970544919	0.0	0.008265205282544246	0.0007418910677572884	0.0009220177846986027	0.03636120082754104	0.0025196936343624358	0.0018324211063043252	0.010626793661356736	0.0019484289984730853	7.669838997296382e-05	0.002623992266128058	0.00613704010555709	0.05307933035578647	0.003338518153192458	0.003885299995352512	0.007278885290709766	0.009756047832159278	0.0018887916340351038	0.0	0.006729092077480951	0.008914055498719198	0.004193366856064044	0.001542661700378561	0.02700877785280216	0.01435705368289638	0.005577562263807312	0.00032847503120512795	0.029153970140122592	0.00019853564918149167	0.02099337982794633	0.007100591715976331	0.022087244616234125	0.01703800786369594	0.014249931153127513	0.00013637355444032293	0.014174497253620228	0.04027692217430843	0.0003952005093695454	0.015656454741773726	0.027556539400716583	0.0009247931257044322	0.005848497830095551	0.004521304876944102	0.0073343753757364434	0.0009765443351128141	0.00311167529212642	0.0003927001407175504	0.0010086737051651204	0.0017251893696238285	0.0
d__Bacteria;p__Cyanobacteria	0.0009131075110456554	0.0	0.0020213817267091907	0.0	0.0	0.0025302513879173053	1.5160611518426207e-05	7.170343459451707e-05	2.0796073701285196e-05	0.02240478289855696	0.0	8.63155350700019e-05	6.13704010555709e-05	0.0	0.00030350165029022344	0.00019519449737416926	0.0018122938887073295	1.5291611022193223e-05	0.0	0.0	0.0	0.0008525453435162936	0.0037939985840579446	0.0014411707990378663	0.024307900067521943	0.012484394506866416	5.008423257296362e-05	0.0	0.0	8.42272451072995e-06	7.080397918363011e-05	0.004733727810650888	0.009387078961899503	0.007863695937090432	0.0080882732107219	0.05176740126554658	0.008432066821008671	0.003094839977705418	0.02414565334328653	0.011355733684711395	0.0056653506469796205	0.009508029323648694	0.0	0.0002599356462354623	0.0034718047372850787	0.0	0.0003385086091853009	0.0	0.0004443496498524759	0.0	0.0
