#OTU ID	16S0064C	16S0064O	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0092O	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118O	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	16SNEGCTRL
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus	0	0	0.000853472	0.000138319	0	0.004673523	0.000351726	0.000159341	0	0.0007355	5.11E-05	0.001579574	0.008868023	0.019141373	0.000174513	0.003513501	0.005288333	0.000158013	0.004468605	0	0.000367208	0.000749447	0.001797157	0.000152236	0.58541526	0.566167291	0	0.00133267	0.000223537	4.45E-05	0.048252912	0.661538462	0.715074544	0.26583661	0.000297331	0.000254564	0.000215625	0.000139341	0.000708068	0.000329417	3.99E-05	0.000105966	7.45E-05	0.000303258	0.000340668	0	3.91E-05	0.000632684	0.000297714	4.81E-05	0.458158996
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Phyllobacterium	0	0	0	0	0	0.000342328	0	0	0	0	0	0	0.0008285	0	0	0.000316029	0	0	0	0	0	0	0.000907655	0	0.162052667	0.048064919	0	7.51E-05	0	0	0.001168266	0.008284024	0.010491441	0	0	0	0	0	0.0001482	0	0	0	0	0	0	0	0	0	0	0	0.094142259
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121533	0	0	0	0	0	0	0	0	9.08E-05	0	0	0	0	0	0	0	0.000566432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058577406
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0	0	0.000101069	0	0	0.000208374	2.12E-05	0	0	0.000670982	0	0	0.000736445	0.002096436	3.04E-05	0.000176605	0.000415936	0	0.001566315	0	0	4.76E-05	0.000217837	0	0.021607022	0.033707865	0	7.51E-05	0	4.81E-06	0.003115375	0.043786982	0.030922142	0.024464832	6.58E-06	0	0	0	0.000109778	0	0	0	0	0	2.00E-05	0	0	4.36E-05	1.78E-05	0	0.054393305
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000789961	0	0.000102245	0	0	4.61E-05	0	0	0	0	0	0.006752194	0.005617978	0.000154806	0	2.35E-05	0	0.00017701	0.026035503	0.020430701	0.001965924	0	0	0	0	1.10E-05	0	0	0	0	0	0	0	0	0	0	0	0.048117155
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	0	0	0.000763633	0.058798011	0	0	0	0	0.000207961	0	0.027458024	0.000181263	0	0	3.79E-05	0.000678533	0	0	0	0	0	0.082383637	0	0	0	0	0	0.024879637	0	1.93E-05	0.000495628	0	0	0	0	0	0.006593581	0	0.000400689	0.000247063	0	0	0	0	0	0	0	0	0	0	0.031380753
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0	0	0	0.003508265	0.003892964	0.000714424	0.000573071	0.002876104	0.002006821	0.000124734	0.011543108	0.018022684	0.013961766	0.084252423	0.009363026	0.030162197	0.001426067	0	0.001382043	0	0.000229505	0	0.000181531	0.010159239	0	0.004993758	0.016318354	0	0.000105886	1.08E-05	0.001522286	0.041420118	0.013804528	0.022498908	0	0.000181831	3.40E-05	0	0.000170156	0.000228762	0	0.000105966	0	0	0.00056611	0	0.005578882	0.003643385	0	0	0.027196653
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;__	0	0	0.000145989	3.77E-05	0	0.000952565	1.82E-05	4.78E-05	0	6.02E-05	0	0.00027621	0.000859186	0.003159846	0	0.000622763	0.000534775	0	0.000552817	0	7.34E-05	9.12E-05	0.000108919	0	0.111411209	0.076779026	0	0.000159545	7.65E-05	9.63E-06	0.006372358	0.149112426	0.095527333	0.037352556	7.90E-05	2.73E-05	0	0	0.000142711	4.58E-05	3.99E-05	0	0	7.88E-06	3.01E-05	0	0	0.000174533	4.44E-05	0	0.025104603
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__ANME-2a-2b;g__ANME-2a-2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-05	0	0	0	0	0	0	0	0	0	0	0.004150284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025104603
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium	0	0	0	0	0	0	0	0	0	0.000464526	0	0	0.000153426	0	0	4.65E-05	0	0	0	0	0	1.59E-05	0	0	0.006752194	0.007490637	0	0	0	0	0.00017701	0	0.00993926	0.00655308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023012552
