# Constructed from biom file
#OTU ID	16S0064C	16S0064O	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0092O	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118O	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	16SNEGCTRL
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS3a_marine_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002856014340837967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002160219289487538	0.0	0.0	0.0	0.0	5.6310005349450505e-05	0.0003706013153405414	0.37271157583159364	0.0007080397918363012	0.0	0.023743787962451683	0.0	1.316593577437097e-05	0.029520328751181903	0.0	0.0	0.0003952005093695454	0.0	0.0	0.0009633261726087836	0.0	0.0	3.0058915474329688e-05	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Ornithobacterium	0.010004909180166912	0.0	0.0	0.0012951657623559442	0.19594926853255748	5.953532677452484e-05	0.0013523265474436176	0.001083518567206036	0.34543318221519775	0.0	0.0	0.0	0.0	0.0	0.2740392275883	0.0021285495189849886	0.0390980124186696	0.000886913439287207	0.0029713917169576633	0.0	0.011521160378224548	0.0	0.0	0.0	0.0	0.0	9.106224104175203e-06	0.0	0.028506888478416887	3.36908980429198e-05	0.0	0.0	0.0	0.00109217999126256	0.003131298391671229	1.818314059204306e-05	0.0	0.0011880665317257767	0.0	0.12697192635701476	0.0	0.0	0.046787982640764406	0.007022200867239838	0.0	0.0009951451795911534	0.0	3.2725011726462536e-05	0.3008513739291173	0.029801643343176275	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella	0.12354442808051055	0.0	0.0	0.056572337522712554	0.03694217924025735	0.0005060502775834611	0.12489918193340246	0.135909876749763	0.00476230087759431	0.00012473386524441385	0.06606927142921058	0.026144975572703576	0.379146337721317	0.00048613010056816456	0.008278007511665846	0.023060835618348284	0.06357883478415877	0.0	0.058345234256230706	0.0	0.0	0.0001229251425535121	0.0	0.03621195359835991	0.0	0.0	0.07235805673177617	0.0	0.004447215784086497	0.0	0.0	0.0	0.0	0.0	8.777290516247314e-06	0.0	0.0738912342820827	0.0	0.00020308915064823861	0.020561106840891623	0.0	9.633261726087835e-05	0.005680865726685168	0.0005159328735885691	0.0106158069816841	0.0	0.03789994466686196	0.010668353822826786	0.1006985176495681	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita	0.0	0.0	0.00015721857874404817	0.0	0.0	0.0	0.0	0.0	0.0	6.021634873868255e-05	0.0	0.0	0.0	0.0007595782821377571	0.0	0.0	0.0010398407558156809	0.0	0.0	0.0	0.0	0.0001546477599866765	0.0	0.0	0.0	0.0	0.0002549742749169057	0.0	0.0003353059519747756	0.10511078890847507	0.0	0.0	0.0	0.0	0.0016413533265382475	0.0	0.0	0.0014080788524157353	0.00041166719725994314	0.0002379122286885546	0.0005648234783997809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010220041946606945	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	0.008394698085419735	0.0	0.007984457820501303	0.002464587275939467	0.11986231201081834	0.023501570244243677	0.07319240028865805	0.35018364046304484	0.004325583329867321	0.15430439364287404	0.13221524124839412	0.058142144423153276	0.0004295928073889963	0.0020052866648436786	0.0013809325088205166	0.04435562578426361	0.032888677619655964	0.0024160745415065295	0.08398212558160961	0.0	0.008812999173781328	0.3104177075650512	0.027937625937153956	0.02208442013173519	0.0	0.0024968789013732834	0.002458680508127305	8.446500802417576e-05	0.0795616315869972	0.10059139558528911	0.03933161043650653	0.0	0.013804527885146328	0.000655307994757536	0.005526401541292214	0.00014546512473634447	0.07774978437514186	0.0014080788524157353	0.010176413116265794	0.0155924014494345	0.0009071407380360118	0.0013197568564740335	0.007468941496395909	0.007057646637181037	0.03816480301390726	0.0057011588326110006	0.007928913192071087	0.2942960304560776	0.010286694394084818	0.0016449480035948133	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Glaciecola	0.0	1.0	0.0	0.0	0.0	0.006787027252295831	0.0	0.0	0.0	0.0033162003483945893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1462050937607784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033130866924351186	0.0	0.0001228820672274624	0.09833442432176885	0.0	0.0	0.33301680699944014	0.0	8.557931490905771e-05	0.26143708998429777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Marinobacterium	0.0	0.0	0.0004941155331955799	0.00013831867364966395	0.0408453878621481	0.000357211960647149	0.00048513956858963863	0.006086824892245672	0.0027866738759722166	0.005849588163186305	0.002237036374211445	0.00955512973224921	0.0	0.0	0.0013657574263060055	0.005539805735000233	0.0	0.0	0.0003915787533975215	0.0	0.0	0.0	0.09944269972951876	0.00010149090134069481	0.0	0.003121098626716604	0.0	0.0	0.014694636281280515	3.248765168424409e-05	0.0	0.0	0.0	0.045434687636522496	4.8275097839360224e-05	0.42355807695105097	0.0	0.0	0.051310199466479314	0.0	2.2821150642415392e-05	0.2585856445133758	0.0	0.00016147517417657508	7.01374694401026e-05	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Lewinella	0.0006381934216985763	0.0	0.0007748629952385231	0.0	0.0	0.00010418682185541846	0.0	0.0	0.0	0.0	0.0	0.0	0.0005523336095001381	0.000638045756995716	0.0	0.0012641167448993818	0.0019905523039900177	0.005326577839397307	0.0	0.0	0.0019094831543192876	0.0005749724409761049	0.0002722965490950678	6.0894540804416884e-05	0.0	0.0	0.00016846514592724126	0.0	0.0009882701742414438	0.07192164459712304	0.005062484511629554	0.0	0.0	0.002621231979030144	0.02036770264295189	0.00011819041384827987	0.00022697353488583232	0.0025668104080495175	0.00018113356679437499	0.0031477617949562608	0.0028697596932837355	0.0005779957035652702	0.0	0.0015674907151774849	0.000611197947978037	0.03097970647867413	0.0	0.00010908337242154178	0.0001732963634424656	0.0006258826550263191	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.005331369661266568	0.0	0.004941155331955799	0.06680163216034907	0.00017415891488751383	0.00026790897048536175	8.186730219950151e-05	0.0	0.002776275839121574	0.0	0.07875007190474059	0.0006991558340670153	0.0002454816042222836	0.00015191565642755142	0.0028301528889563337	0.0006506483245805642	0.0	0.0	0.0025798129635601417	0.0	0.0	0.04718739343183206	0.0	0.005104992337436949	0.0	0.008739076154806492	0.0	0.7086708023237263	0.0006000211772180195	0.00012754411401962496	0.0	0.0	0.0	0.013761467889908258	0.0	0.00010909884355225835	0.009873348767533706	0.0	0.0006970897873601704	0.0008052413894074155	0.0	0.0	0.0	0.0	0.00041581499739489397	0.0	0.001171760570256811	0.0003708834662332421	4.8878461483772354e-05	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum	0.02771723122238586	0.0	0.010814392237894169	0.007701835237310833	0.0036266032864811703	0.007933082292705434	0.009160041479433114	0.004103029868464033	0.005968473152268851	0.0004817307899094604	0.000415449612353554	0.004643775786766102	0.07303077725612937	0.026220642299395375	0.05217193368488941	0.03999628200957382	0.057963694702754094	0.08789618015556666	0.0072787580043304	0.0	0.09880657302855045	0.017364167717478368	0.003430936518597854	0.14081862561021405	0.0	0.0	0.025433683922961345	0.0	0.004653105403720131	0.0005185991805892298	0.0695649095479166	0.0	0.0	0.00218435998252512	0.03919169931635878	0.0036184449778165683	0.03782513958872395	0.17265100178943354	0.003820271590572272	0.08753339921671974	0.07436842465597115	0.0028225456857437358	0.004628508633053326	0.20003623345371768	0.14015971303755362	0.035304402819888024	0.03920190085603619	0.005814143750068177	0.08998080409512638	0.05177975349852356	0.0
