# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	TB159	TB167	TB175	TB215	TB217	TB219	TB115	TB117	TB119	TB139	TB145	TB149	TB151	TB155	TB157
d__Bacteria;p__Proteobacteria	43351.0	65559.0	59888.0	57842.0	44980.0	239471.0	113857.0	41352.0	133706.0	72145.0	88389.0	19439.0	15042.0	76580.0	78610.0	26696.0	118055.0	24091.0	63730.0	127667.0	33561.0	54649.0	1425.0	1399.0	114984.0	813.0	102824.0	354906.0	14443.0	1724.0	3371.0	381390.0	88084.0	61337.0	60876.0	137521.0	57433.0	91386.0	83030.0	51879.0	118402.0	112753.0	67733.0	91964.0	60912.0	119333.0	68111.0	205537.0	44091.0	34782.0	88900.0	140524.0	110905.0	80080.0	139554.0	165232.0	87331.0	148485.0	167218.0	150250.0	85898.0	108630.0
d__Bacteria;p__Firmicutes	6971.0	573.0	58024.0	2166.0	175.0	14052.0	4354.0	2546.0	41.0	20130.0	2678.0	466.0	12034.0	1109.0	4139.0	322.0	340.0	1626.0	50.0	35931.0	208.0	4960.0	30.0	72.0	3274.0	24645.0	4361.0	230.0	1119.0	56.0	459.0	1693.0	19.0	3376.0	38.0	201.0	1548.0	515.0	42.0	4937.0	1891.0	3729.0	227.0	7245.0	825.0	43.0	786.0	2050.0	366.0	1187.0	63.0	2.0	83.0	492.0	772.0	3431.0	331.0	7233.0	3554.0	3345.0	4340.0	196.0
d__Bacteria;p__Myxococcota	326.0	373.0	0.0	7.0	292.0	0.0	72.0	10.0	19.0	0.0	0.0	587.0	9.0	0.0	3.0	394.0	2339.0	0.0	2841.0	450.0	150.0	58.0	3.0	0.0	2287.0	0.0	48.0	8.0	57.0	0.0	18.0	8666.0	0.0	68.0	4900.0	8.0	47.0	2170.0	17.0	0.0	7231.0	1291.0	178.0	18.0	23.0	5.0	11.0	71.0	328.0	1169.0	1329.0	53.0	142.0	1807.0	34.0	36.0	1301.0	27.0	30.0	464.0	889.0	121.0
d__Bacteria;p__Planctomycetota	22.0	509.0	0.0	52.0	623.0	0.0	45.0	0.0	550.0	0.0	17.0	51.0	11.0	0.0	18.0	11.0	267.0	0.0	330.0	153.0	136.0	0.0	0.0	0.0	4184.0	0.0	42.0	599.0	848.0	0.0	3.0	42425.0	31.0	10.0	1349.0	27.0	24.0	1046.0	2.0	0.0	3407.0	244.0	106.0	0.0	1136.0	14.0	82.0	2277.0	13946.0	167.0	20520.0	1837.0	3748.0	3995.0	1647.0	215.0	5660.0	98.0	211.0	1251.0	920.0	6.0
d__Bacteria;p__Bacteroidota	38301.0	7895.0	32671.0	36256.0	6015.0	41758.0	9661.0	45986.0	94796.0	35591.0	23500.0	11404.0	1947.0	56362.0	22742.0	5687.0	70056.0	5699.0	41720.0	81161.0	13786.0	31530.0	0.0	98.0	25831.0	81929.0	36199.0	547614.0	10647.0	68.0	561.0	401462.0	22965.0	12458.0	52277.0	50824.0	40860.0	90509.0	25238.0	37471.0	117654.0	65359.0	49230.0	48696.0	19400.0	101425.0	58423.0	10510.0	21368.0	9220.0	52754.0	51570.0	9623.0	45500.0	16974.0	11511.0	24529.0	14758.0	28165.0	7372.0	44218.0	22767.0
d__Bacteria;p__Verrucomicrobiota	1686.0	1950.0	927.0	24.0	772.0	23.0	27.0	27.0	1136.0	27993.0	217.0	96.0	4.0	161.0	231.0	12.0	91.0	154.0	107.0	429.0	608.0	6753.0	0.0	7.0	1242.0	0.0	1024.0	11941.0	19.0	0.0	74.0	42042.0	56.0	1854.0	2120.0	532.0	46.0	1934.0	8.0	0.0	2886.0	1436.0	100.0	2398.0	95.0	13.0	2019.0	954.0	2979.0	374.0	7898.0	558.0	888.0	12881.0	2384.0	10.0	998.0	521.0	195.0	430.0	1090.0	18.0
d__Bacteria;p__Patescibacteria	3575.0	5656.0	0.0	10.0	3335.0	8.0	17.0	280.0	82.0	0.0	0.0	51.0	41.0	178.0	401.0	142.0	2245.0	6.0	692.0	1776.0	2192.0	297.0	0.0	5.0	1736.0	0.0	255.0	945.0	0.0	0.0	0.0	9708.0	264.0	15.0	327.0	35.0	538.0	969.0	158.0	79.0	423.0	156.0	264.0	45.0	5.0	88.0	739.0	62.0	16.0	64.0	488.0	277.0	242.0	95.0	70.0	34.0	56.0	18.0	23.0	81.0	442.0	26555.0
d__Archaea;p__Nanoarchaeota	0.0	316.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	289.0	0.0	0.0	7.0	0.0	0.0	13.0	15.0	4.0	0.0	0.0	0.0	21.0	0.0	0.0	17.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	24.0	2.0	0.0	14.0	0.0	0.0	2.0	64.0	45.0
d__Bacteria;p__Bdellovibrionota	637.0	824.0	0.0	0.0	1013.0	0.0	15.0	0.0	476.0	0.0	0.0	41.0	80.0	34.0	35.0	12.0	1083.0	0.0	363.0	741.0	859.0	66.0	0.0	0.0	1972.0	0.0	155.0	1747.0	176.0	0.0	0.0	6936.0	112.0	99.0	2291.0	118.0	314.0	692.0	76.0	4.0	1787.0	314.0	541.0	474.0	0.0	39.0	212.0	194.0	521.0	253.0	1277.0	380.0	171.0	2254.0	283.0	76.0	5225.0	71.0	280.0	239.0	1396.0	1067.0
d__Bacteria;p__Fusobacteriota	140.0	149.0	1221.0	118.0	12.0	37596.0	0.0	155.0	0.0	9904.0	490.0	0.0	0.0	70.0	234.0	0.0	0.0	3360.0	4.0	3237.0	19.0	163.0	0.0	0.0	112.0	3261.0	119.0	115.0	0.0	0.0	20.0	7.0	6.0	6616.0	2.0	289.0	231.0	27.0	37.0	5947.0	0.0	892.0	5.0	107.0	348.0	10785.0	0.0	2908.0	0.0	131.0	0.0	0.0	54.0	16.0	427.0	7.0	10.0	744.0	69.0	106.0	109.0	0.0
