# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	TB159	TB167	TB175	TB215	TB217	TB219	TB115	TB117	TB119	TB139	TB145	TB149	TB151	TB155	TB157
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas_diminuta	0.0	0.0	6.0528290923177496e-05	4.6869141357330336e-05	0.0	0.0	0.0	0.0	0.0	5.930600117425882e-05	0.0	0.0	0.0	0.0	0.0	0.0005712000913920146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.656179653222448e-05	4.36057603209384e-05	0.0	0.0	0.0	0.0003574794449319164	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae;g__Cm1-21;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.931294046598403e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1244356738461885e-05	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group;s__uncultured_bacterium	0.0010310103012149924	0.00014707546102500283	0.00019369053095416797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004506534474988734	0.0	0.00010809924255979007	0.0	0.019729989782860998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3535101181341234e-05	0.00022236575990851237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002464429233160153	0.0	0.004926195980793171	0.0	0.0	0.0	4.297230864430961e-05	0.0	0.0012055570438975851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured;__	0.0	0.00023758343704038918	0.0	0.0	0.0002565960272897422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031524495966297447	0.0	0.00011424554002987961	0.0	0.0	0.00015871283887670988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016923697540529063	0.0	0.0	0.0	1.579196715270832e-05	7.447125409591897e-05	0.0010742877325170708	0.0	0.0	0.0	0.0	0.0	0.0	4.067438124097537e-05	0.0	0.0	0.00012891692593292882	0.0	0.0	0.0020058558048496418	0.0	5.316684515536112e-05	0.0009496965232584331	4.828089826611224e-05	0.0	0.00016932154160751266	8.583199816891738e-05	3.885192559856248e-05	0.0001787397224659582	0.000579084372030787	1.528428775219075e-05
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Pannonibacter;s__Pannonibacter_phragmitetus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024315460481446116	0.0	0.0	0.0	0.00032490505552266395	0.0013617917548048553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001373311970702678	0.0010441455004613666	0.0002329032747283698	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae;g__Fusibacter;s__Acidaminobacter_sp.	7.110415870448223e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002548554354512699	0.0003578457684737878	0.0	0.0	0.0	0.0	0.00017437197028701628	0.0	0.0	0.0	0.007514391093033677	0.0	0.0	0.00013198355314626437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.11801671717069e-05	0.0	0.0	0.0	0.0002345958499994135	0.0003444448696850243	0.0	0.0	0.0	0.0007670625764779652	0.0004345280843950102	0.0	0.00022793284447165168	0.0	0.0	0.0	0.0036769046534770363	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__Micavibrio;s__Micavibrio_aeruginosavorus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8372221201543268e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__marine_metagenome	0.0	0.00011313497001923294	0.0	0.0	0.0013282617883233713	0.0	0.0	0.0	0.0	0.0	0.0	0.0004796306843730328	0.0	0.0	0.0	0.0	2.3882193913861703e-05	0.0	0.00014060989542139028	0.0	9.196924548431004e-05	0.0	0.0	0.0	0.0018192808899945363	0.0	0.0	3.439166517994364e-05	0.00027575747130398814	0.0	0.0	0.00023203560149907772	0.0	0.0	0.0031237797735259665	0.0	0.0	0.00020602778431834235	0.0	0.0	0.00026971072574977684	0.0005683275578512189	0.0006016093048905823	0.0	0.0	0.0	0.0	0.00013751138766179074	0.0	0.0	0.0009490070474557445	0.0	0.0	0.00010958036806828075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__SM2D12;__	3.5552079352241115e-05	0.001074782215182713	0.0	0.0	0.0005433798224959246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.609292061788036e-05	0.00029430158554979215	0.0	0.0	0.0	0.0038826825383908954	0.0	0.0	0.0	0.0	0.0	0.0	0.00011388903376330878	0.00013383775295335308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.139622784858212e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035048555729899655	0.0	2.278579078086905e-05	0.00029221431484874864	2.414044913305612e-05	0.0	7.163603683394767e-05	0.0	0.0	7.041261794113505e-05	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_bacterium	0.0009154660433202087	0.0002149564430365426	0.0	7.499062617172853e-05	0.0	2.588497865927315e-05	0.00035056052390151487	0.000333667000333667	0.00013222943085893678	0.0	0.0	0.0007793998621061783	0.0007319013524264121	0.00015162235924390984	0.0014162634249970496	0.002884560461529674	0.018198231762362616	0.0	0.02579312769136128	0.0016438539989264626	0.0	0.0017458412276438087	0.0	0.0	0.0004533671227462423	0.0	0.0	0.0	0.0	0.0	0.0	0.01923128095360246	0.00011599271922623934	0.0015459714736496574	0.005962214279277927	4.737590145812497e-05	0.0039749031873696754	0.019729613060199356	0.0001377916590115745	0.0	0.017728731789777585	0.0011768906950193382	0.004679183482482307	0.000515738929397119	0.0	0.0028122627930995863	0.021669988550103898	7.735015555975729e-05	0.0	0.0	0.0006901869436041778	0.0	9.11431631234762e-05	0.0021672561684615527	0.00018708848078118493	3.8155040280821094e-05	0.0018625369576826393	8.010986495765621e-05	0.0203729784857462	0.0002924831822170225	0.0003317085237846256	0.00016812716527409824
