# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	TB159	TB167	TB175	TB215	TB217	TB219	TB115	TB117	TB119	TB139	TB145	TB149	TB151	TB155	TB157
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.05723884775710819	0.07531394954180337	0.006270730939641188	0.052343457067866514	0.3228581778663286	0.007377218917892847	0.07730978362211068	0.02215548882215549	0.17199636582338412	0.009714322992343595	0.4061282652321287	0.0525495368566204	0.0711217183770883	0.08828031364168026	0.28822776421029694	0.15693722510995603	0.22071923615190986	0.03907165389815232	0.1523068810967572	0.06696188942565755	0.053452525475481	0.066232851573737	0.10710507654929495	0.00039998577828343884	0.05444273816596236	0.2474716752395057	0.17786356899107236	0.22424005679550318	0.16800207002391235	0.031110028695771876	0.27617667377526806	0.028604516502605676	0.07218126303246947	0.16497920100463073	0.06997060444607753	0.01894657399606852	0.1765503618302342	0.11748789160534932	0.1824213103384888	0.052190408441519946	0.10282483577718574	0.023713431250959198	0.1417666765616386	0.03239682348694501	0.2242384432219394	0.1100884075165525	0.1878926112252436	0.08636732903714557	0.0783375487046278	0.24959363946841345	0.284965931791161	0.14938788413949483	0.37426573062245205	0.31285191119249256	0.27092904667087564	0.1588941969170106	0.17786323488899008	0.09507336458121052
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.3280657002426429	0.6663876004072858	0.3562210977410842	0.4898012748406449	0.35606472257441285	0.6813674171393072	0.7719193561620336	0.37206730540063876	0.3982153292299555	0.4181488224793467	0.33915411727010575	0.5301717677388411	0.4075417661097852	0.46463588973444425	0.42544190142443417	0.6055006568801051	0.34314413859314774	0.5037629562866156	0.407759908603568	0.40892452436333276	0.5638634440643049	0.4758607691620954	0.561227811166781	0.006826423949370689	0.5218241736069855	0.13395231165726987	0.3199820757643652	0.18170516364364014	0.6179289053856312	0.618378000614153	0.1809464451986904	0.6953045217665947	0.4624571790288948	0.28330782513146535	0.6927521587359912	0.43632406627351866	0.273159984045281	0.4494565682068511	0.3835342875525364	0.49297528009959096	0.5165646417603872	0.47126555973569706	0.339510622959162	0.8508431166956013	0.29293983789426764	0.5554938956714761	0.2914637894498455	0.6138863553674935	0.7640151601461329	0.23755806237558064	0.5572581277874675	0.7512454895291668	0.1943355431965302	0.5367990386816205	0.5409596425622845	0.6549131758257234	0.3048963551417632	0.45837069492561644
d__Bacteria;p__Firmicutes;c__Clostridia	0.0604385348988099	0.0063694988120828145	0.17714209621577126	0.01763217097862767	0.0019471110306103967	0.0028358432175603697	0.03225902693349046	0.022965822965822967	5.1185586138943275e-05	0.0779992527443852	0.020784498895428254	0.0018285919841721874	0.004391408114558472	0.007855482231303518	0.03687732072011548	0.007168561146969784	0.0014233787572661574	0.003041910770617395	0.0004394059231918446	0.13303661955030716	0.003605194422984954	0.04681036791619962	0.018181184101926227	0.20215281234444998	0.017917792250008408	0.0001719583258997182	0.03808900072386336	0.0016412793463833845	0.00015168278668046682	0.02998761105051938	0.0002853452677740065	0.0010422698320787492	0.013963360142984807	0.0024379954477670514	0.0002572110968216057	0.04259688289806234	0.0071834222872229295	0.015113489480910732	0.0016042914797082194	0.04268777046653625	0.006070651400215574	0.00017835884970985577	0.005555319960985539	0.0035108376162400947	0.0031670439749920823	0.02231237322515213	0.00016176256490722918	0.0	0.000455715815617381	0.002173343966687568	0.0033072415312286885	0.0004033532829686802	0.0018885864256222567	0.012119478141451133	0.016682045553882766	0.0025186051802021385	0.02416974480932382	0.0004992867332382311
d__Bacteria;p__Myxococcota;c__Polyangia	0.0028974944672076506	0.0023984613644077385	0.0	6.561679790026247e-05	0.004105536436635875	0.0	0.0003878541966569952	9.5333428666762e-05	8.104384471999351e-05	0.0	0.0	0.01759645073293564	0.0002863961813842482	0.0	2.7235835096097104e-05	0.011252641800422689	0.011129102363859554	0.0	0.02231303277968187	0.0016624917993678058	0.0024095942316889234	0.0004265407544811578	0.010415819025144438	0.0	4.483651485770011e-05	8.59791629498591e-06	0.0019647719830409153	0.006432069448894159	0.0	0.0007200415082751829	0.03483464992641096	4.2111912407222194e-05	0.000363047363717605	0.010193469900321796	0.00015616388021311777	0.0	0.020725939713954682	0.006467869375191748	0.001487311892646162	0.00010670460608216255	0.00023387769213560839	2.0739401129052997e-05	5.6542696803924065e-05	0.0002965089296457363	0.0038473719399903816	0.02223582992077768	0.006529815536755151	7.974362424804254e-05	0.0008810505768602699	0.009910935511953392	0.0001810533684979209	0.0001471694410831671	0.00829675553876812	0.00015449759670405126	0.00012141226749550774	0.002025716854614193	0.004480876160277061	0.00017322192785816182
d__Bacteria;p__Planctomycetota;c__OM190	0.0	0.0015046951012557981	0.0	6.561679790026247e-05	0.004045160900802995	0.0	0.0	0.0	7.677837920841492e-05	0.0	0.0	0.0006295152732396055	0.0003500397772474145	0.0	0.0	0.0001713600274176044	0.0010173814607305086	0.0	0.0019509622989717901	0.0002124709250313115	0.0008277232093587904	0.0	0.006387826511514362	0.0	0.0001625323663591629	0.0003987283681799716	0.010444314225638551	0.00737298445680785	0.0	8.471076567943329e-05	0.00832757636740456	4.2111912407222194e-05	0.00018617813523979745	0.0026930774664469036	0.0	0.0	0.002754088396740679	0.000985771693264061	0.0006517434136314641	0.0	0.0002542148827560961	2.0739401129052997e-05	7.774620810539558e-05	0.000992660329683552	0.006228519817484428	0.0007080255654636611	0.010541527146454434	0.00030900654396116486	0.0014810764007564883	0.0031169526917199856	2.414044913305612e-05	0.0	0.007606444638368261	1.1444266422522316e-05	0.0	6.499626271489389e-05	0.0007927271500615628	2.037905033625433e-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.3394690296948743	0.08876569747709016	0.19775197927511318	0.33981064866891636	0.09071424258890298	0.12009192043532782	0.07170827397423753	0.43840030506697175	0.3770287620339446	0.21107598877930459	0.19814836675154723	0.3408375550825864	0.06195704057279236	0.40657174625637177	0.20359694595502456	0.16236362597818016	0.3346181953658991	0.12841369986480397	0.36664030231127515	0.3024020397208803	0.2535776036493397	0.3127634881114164	0.14902991060530324	0.7282318850885302	0.20258818782016075	0.5884886797684581	0.3624142566612664	0.42243464951448145	0.20478068453549378	0.13191583985429747	0.3922896705013066	0.26747381165447176	0.3802222966934763	0.4434012243936897	0.23178394267866986	0.32883143779837126	0.446652358069479	0.3287196535716621	0.4111331144143918	0.28867152765427706	0.1971894002562486	0.4206406815796787	0.41292424692195695	0.04491035976416797	0.24817894971437957	0.17603046423514104	0.2805556004896014	0.2568093579143055	0.0724967910011317	0.27378654961859944	0.10240378522242406	0.062639674701028	0.1571759771806661	0.08431563286793317	0.11669175853528241	0.03886234874828031	0.2477862672671153	0.11597208070103933
d__Bacteria;p__Firmicutes;c__Bacilli	0.001146554559109776	0.0	0.1706110936251604	0.002671541057367829	0.00048300428666304414	0.03757923679578477	0.0001939270983284976	0.0012584012584012584	0.00012369849983577958	0.0011208834221934918	0.001037116983422992	0.012080697862645763	0.37855210819411295	0.00012274190986411748	0.0002905155743583691	0.002027760324441652	0.00020061042887643832	0.03348355114916629	0.0	0.0008983419812727381	9.196924548431004e-05	0.001993830038388668	0.0008486102553968125	0.016906065562113347	0.006523712911795366	6.340963267552109e-05	0.00048257557478197924	1.2772601917380424e-05	1.7845033727113746e-05	0.0005612088226262455	0.0	1.579196715270832e-05	4.654453380994936e-05	5.395965779766109e-05	0.0	0.0007283768604324628	0.0	0.0034602598212534388	0.00029244896765514417	0.00018969707747940008	0.002318439730735596	0.0	0.0	0.005298485655843375	0.0011260600799971848	0.0003444448696850243	5.931294046598403e-05	9.967953031005317e-06	0.0001746910626533294	0.00045049706872515416	0.0013518651514511427	0.018298067174673773	0.00022142047748674733	0.028702220187685968	0.00044679714438346853	0.015599103051574534	0.00012368792412308072	0.0004738129203179132
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.000382184853036592	0.003382735603575065	0.0	0.00010311211098612674	0.00048300428666304414	4.026552235886934e-05	0.00020138583287959366	0.0001334668001334668	0.004832772424618561	0.16555863287806094	0.001829710450429181	0.0027578764351449386	0.00012728719172633253	0.001162438087536642	0.002097159302399477	0.00011424001827840292	0.00016717535739703193	0.0	0.0	0.0003242977276793702	0.00012875694367803407	4.9597762148971836e-05	0.007201562372853772	0.0	0.005711051079999551	0.005393042996029912	0.0003791665230429837	0.04345132733943509	6.24576180448981e-05	0.0003706095998475206	0.015739044243534676	1.579196715270832e-05	2.7926720285969615e-05	0.009050506239698611	3.6744442403086535e-05	0.0	0.010340177401280176	5.532392156073812e-05	0.0002506705437044093	0.0	0.0008948363873014581	5.392244293553779e-05	0.014269963105890335	0.0031498702236278943	0.033441638417416396	0.006582724176202687	0.03615393325676572	0.00038376619169370476	0.006516736163328548	0.04691257312967619	0.014297180999052488	5.4507200401173e-05	0.005913229222293134	0.0029468986037994964	0.0006993346607741246	0.0022532037741163215	0.004553964479077063	3.05685755043815e-05
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.000995458221862751	0.008258852811404005	0.0	5.62429696287964e-05	0.007305439835778542	0.0	0.0	0.002669336002669336	0.0	0.0	0.0	0.000929284450972751	0.0011137629276054097	0.0012851799974007596	0.0034771082806017302	0.0006854401096704175	0.008029193593840304	0.000135196034249662	0.0	0.0012971909107174807	0.012562998933156752	0.0	0.0019936528602815524	0.0	0.00022418257428850056	0.00023536795857523928	0.0	0.002459790252588847	0.001124237124808166	0.0	2.2527257982158412e-05	2.1055956203611097e-05	0.00019548704200178732	0.0003433796405305706	1.8372221201543268e-05	0.0005089862398202752	7.977359494007484e-05	9.053005346302601e-05	0.0	0.0	0.0	0.0	0.0	0.00013751138766179074	0.00010556813249973608	0.0005932106089019863	0.00011323379543506042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__BD7-11	0.0	0.00019232944903269602	0.0	0.0	9.056330374932077e-05	0.0	0.0	0.0	2.5592793069471637e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012896384713485318	0.0	3.515247385534757e-05	0.0	5.5181547290586025e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00011708218424265389	0.0	0.0	0.0	2.631994525451387e-05	0.0	0.0	0.0	0.0	5.69811392429106e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00011602523333963594	0.0010908707024972729	0.0	0.002194578797241409	0.0001694552015270904	0.00021266738062144448	0.0011749450576210101	0.0	0.0	5.8611302864139e-05	0.0	0.0	1.0832710452482315e-05	0.0007702384365846391	0.0
