# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	TB159	TB167	TB175	TB215	TB217	TB219	TB115	TB117	TB119	TB139	TB145	TB149	TB151	TB155	TB157
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	6440.0	6657.0	1036.0	5584.0	21390.0	2565.0	10365.0	2324.0	40323.0	1638.0	48166.0	1753.0	2235.0	12227.0	31748.0	5495.0	46210.0	1734.0	17331.0	17964.0	2906.0	6677.0	18427.0	45.0	9714.0	230262.0	5160.0	210676.0	18829.0	2938.0	36779.0	5434.0	7754.0	33632.0	7617.0	2159.0	46476.0	23360.0	21832.0	8804.0	10112.0	5717.0	20058.0	7539.0	19117.0	5753.0	34846.0	17329.0	10314.0	40999.0	47218.0	27407.0	57470.0	54674.0	55787.0	29336.0	31636.0	18661.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	36911.0	58902.0	58852.0	52252.0	23590.0	236906.0	103492.0	39028.0	93358.0	70507.0	40223.0	17686.0	12807.0	64353.0	46862.0	21201.0	71841.0	22357.0	46399.0	109703.0	30655.0	47972.0	96557.0	768.0	93107.0	124637.0	9283.0	170714.0	69255.0	58399.0	24097.0	132087.0	49679.0	57754.0	75413.0	49720.0	71908.0	89365.0	45901.0	83160.0	50800.0	113616.0	48036.0	197998.0	24974.0	29029.0	54054.0	123172.0	100591.0	39022.0	92336.0	137825.0	29841.0	93811.0	111389.0	120914.0	54231.0	89969.0
d__Bacteria;p__Firmicutes;c__Clostridia	6800.0	563.0	29266.0	1881.0	129.0	986.0	4325.0	2409.0	12.0	13152.0	2465.0	61.0	138.0	1088.0	4062.0	251.0	298.0	135.0	50.0	35690.0	196.0	4719.0	3128.0	22743.0	3197.0	160.0	1105.0	1542.0	17.0	2832.0	38.0	198.0	1500.0	497.0	28.0	4854.0	1891.0	3005.0	192.0	7201.0	597.0	43.0	786.0	817.0	270.0	1166.0	30.0	0.0	60.0	357.0	548.0	74.0	290.0	2118.0	3435.0	465.0	4299.0	98.0
d__Bacteria;p__Myxococcota;c__Polyangia	326.0	212.0	0.0	7.0	272.0	0.0	52.0	10.0	19.0	0.0	0.0	587.0	9.0	0.0	3.0	394.0	2330.0	0.0	2539.0	446.0	131.0	43.0	1792.0	0.0	8.0	8.0	57.0	6043.0	0.0	68.0	4639.0	8.0	39.0	2078.0	17.0	0.0	5456.0	1286.0	178.0	18.0	23.0	5.0	8.0	69.0	328.0	1162.0	1211.0	16.0	116.0	1628.0	30.0	27.0	1274.0	27.0	25.0	374.0	797.0	34.0
d__Bacteria;p__Planctomycetota;c__OM190	0.0	133.0	0.0	7.0	268.0	0.0	0.0	0.0	18.0	0.0	0.0	21.0	11.0	0.0	0.0	6.0	213.0	0.0	222.0	57.0	45.0	0.0	1099.0	0.0	29.0	371.0	303.0	6927.0	0.0	8.0	1109.0	8.0	20.0	549.0	0.0	0.0	725.0	196.0	78.0	0.0	25.0	5.0	11.0	231.0	531.0	37.0	1955.0	62.0	195.0	512.0	4.0	0.0	1168.0	2.0	0.0	12.0	141.0	4.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia	38194.0	7846.0	32671.0	36251.0	6010.0	41755.0	9614.0	45986.0	88391.0	35591.0	23500.0	11370.0	1947.0	56311.0	22426.0	5685.0	70056.0	5699.0	41720.0	81126.0	13786.0	31530.0	25640.0	81929.0	36147.0	547564.0	10514.0	396882.0	22951.0	12458.0	52242.0	50812.0	40845.0	90390.0	25232.0	37471.0	117579.0	65359.0	49204.0	48696.0	19392.0	101411.0	58423.0	10451.0	21158.0	9199.0	52031.0	51527.0	9545.0	44973.0	16968.0	11492.0	24135.0	14735.0	24028.0	7175.0	44073.0	22763.0
d__Bacteria;p__Firmicutes;c__Bacilli	129.0	0.0	28187.0	285.0	32.0	13066.0	26.0	132.0	29.0	189.0	123.0	403.0	11896.0	17.0	32.0	71.0	42.0	1486.0	0.0	241.0	5.0	201.0	146.0	1902.0	1164.0	59.0	14.0	12.0	2.0	53.0	0.0	3.0	5.0	11.0	0.0	83.0	0.0	688.0	35.0	32.0	228.0	0.0	0.0	1233.0	96.0	18.0	11.0	2.0	23.0	74.0	224.0	3357.0	34.0	5016.0	92.0	2880.0	22.0	93.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	43.0	299.0	0.0	11.0	32.0	14.0	27.0	14.0	1133.0	27916.0	217.0	92.0	4.0	161.0	231.0	4.0	35.0	0.0	0.0	87.0	7.0	5.0	1239.0	0.0	1019.0	5018.0	11.0	40823.0	7.0	35.0	2096.0	3.0	3.0	1845.0	4.0	0.0	2722.0	11.0	30.0	0.0	88.0	13.0	2019.0	733.0	2851.0	344.0	6705.0	77.0	858.0	7706.0	2369.0	10.0	908.0	515.0	144.0	416.0	810.0	6.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	112.0	730.0	0.0	6.0	484.0	0.0	0.0	280.0	0.0	0.0	0.0	31.0	35.0	178.0	383.0	24.0	1681.0	6.0	0.0	348.0	683.0	0.0	343.0	0.0	40.0	219.0	0.0	2311.0	126.0	0.0	3.0	4.0	21.0	70.0	2.0	58.0	21.0	18.0	0.0	0.0	0.0	0.0	0.0	32.0	9.0	31.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__BD7-11	0.0	17.0	0.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	93.0	0.0	407.0	34.0	28.0	193.0	0.0	0.0	9.0	0.0	0.0	2.0	137.0	0.0
