index,k__Fungi;p__Ascomycota,k__Fungi;p__unidentified,k__Fungi;p__Basidiomycota,k__Fungi;__,k__Fungi;p__Glomeromycota,k__Fungi;p__Mortierellomycota,k__Fungi;p__Chytridiomycota,k__Fungi;p__Rozellomycota,k__Fungi;p__Mucoromycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Basidiobolomycota,k__Fungi;p__Olpidiomycota,k__Fungi;p__Zoopagomycota,TBSampleID,TurtleID,TurtleName,TurtleSex,AgeRange,EstimatedAge,SCL,CCL,CCW,TurtleHealth,DaysPriorSampling,TimePriorSampling,Locality,LocalitySpecified,LocalityGeo,SamplingMoNo,SamplingMoYeNo,SamplingMonth,SamplingSeason,SamplingYear,SampleSite,SampleType
ITS0064C,15186.0,21580.0,4289.0,1211.0,1504.0,880.0,135.0,134.0,7.0,0.0,0.0,46.0,14.0,13.0,0.0,0.0,SC0064,ID047,ZAL,ND,JUVENILE,15,53.5,ND,51,HEALTHY,6,6 DAYS,CRO,"Albanež, Kamenjak, HR","44.7681° N, 13.9225° E",5,2019-05,MAY,SPRING,2019,CLOACA,DURING
ITS0064W,63195.0,452.0,25774.0,3871.0,18152.0,405.0,255.0,0.0,48.0,0.0,0.0,0.0,24.0,0.0,23.0,0.0,FW0064,ID047,ZAL,ND,JUVENILE,15,53.5,ND,51,HEALTHY,6,6 DAYS,CRO,"Albanež, Kamenjak, HR","44.7681° N, 13.9225° E",5,2019-05,MAY,SPRING,2019,WATER,DURING
ITS0073C,62858.0,316.0,28898.0,3859.0,17508.0,266.0,132.0,6.0,0.0,0.0,0.0,0.0,38.0,6.0,0.0,0.0,SC0073,ID056,SAMBA,FEMALE,ADULT,20-25,74,ND,70,SICK,1,1 DAY,CRO,"Ston, HR","42.8387° N, 17.6963° E",6,2019-06,JUNE,SPRING,2019,CLOACA,DURING
ITS0073W,52223.0,5163.0,17011.0,6372.0,4330.0,3337.0,1039.0,723.0,66.0,44.0,33.0,0.0,42.0,0.0,0.0,0.0,FW0073,ID056,SAMBA,FEMALE,ADULT,20-25,74,ND,70,SICK,1,1 DAY,CRO,"Ston, HR","42.8387° N, 17.6963° E",6,2019-06,JUNE,SPRING,2019,WATER,DURING
ITS0074C,30916.0,1823.0,16117.0,1951.0,2019.0,3360.0,675.0,397.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0074,ID057,ANGELO,MALE,ADULT,35-40,58.3,77,71.6,MILD,0,0 DAY,IT,"Maratea, IT","39.9985° N, 15.7185° E",6,2019-06,JUNE,SUMMER,2019,CLOACA,BEFORE
ITS0084C,55478.0,1955.0,19722.0,3242.0,15362.0,387.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0084,ID010,MERRY FISHER,FEMALE,ADULT,20,ND,69.7,64,SICK,305,10 MONTHS,CRO,"Korčula, HR","42.9584° N, 17.1342° E",10,2019-10,OCTOBER,AUTUMN,2019,CLOACA,DURING
ITS0084W,68913.0,327.0,21535.0,4611.0,15193.0,258.0,174.0,0.0,57.0,0.0,0.0,0.0,4.0,53.0,0.0,0.0,FW0084,ID011,MERRY FISHER,FEMALE,ADULT,20,ND,69.7,64,SICK,335,11 MONTHS,CRO,"Korčula, HR","42.9584° N, 17.1342° E",10,2019-10,OCTOBER,AUTUMN,2019,WATER,DURING
ITS0087C,64784.0,3667.0,28617.0,2890.0,6589.0,5911.0,861.0,376.0,576.0,0.0,284.0,0.0,64.0,0.0,0.0,0.0,SC0087,ID069,KANOOH,ND,JUVENILE,ND,46.5,46.5,52.5,MILD,2,2 DAYS,IT,"Molfetta (BA), IT","41.2028° N, 16.5987° E",7,2019-07,JULY,SUMMER,2019,CLOACA,DURING
ITS0088C,48080.0,740.0,16998.0,386.0,11842.0,1060.0,411.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0088,ID69,KANFUS,ND,JUVENILE,ND,44.7,49,45.5,SICK,0,0 DAYS,IT,"Molfetta (BA), IT","41.2028° N, 16.5987° E",7,2019-07,JULY,SUMMER,2019,CLOACA,BEFORE
ITS0089C,47059.0,2418.0,12973.0,2612.0,1225.0,3969.0,1186.0,1030.0,304.0,0.0,40.0,0.0,128.0,0.0,0.0,0.0,SC0089,ID070,FUTON,ND,JUVENILE,ND,45,43,40.5,SICK,1,1 DAY,IT,"Molfetta (BA), IT","41.2028° N, 16.5987° E",7,2019-07,JULY,SUMMER,2019,CLOACA,DURING
ITS0090C,54833.0,70.0,33672.0,2791.0,15623.0,253.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0090,ID071,COSMYN,ND,JUVENILE,ND,58.7,65.2,60.5,HEALTHY,0,0 DAYS,IT,"Margherita di Savoia, IT","41.3740° N, 16.1512° E",10,2019-10,OCTOBER,AUTUMN,2019,CLOACA,BEFORE
ITS0092C,41548.0,1946.0,21440.0,3044.0,2865.0,2789.0,1566.0,293.0,478.0,0.0,80.0,0.0,101.0,35.0,0.0,0.0,SC0092,ID057,ANGELO,MALE,ADULT,35-40,58.3,77,71.6,MILD,1,1 DAY,IT,"Maratea, IT","39.9985° N, 15.7185° E",6,2019-06,JUNE,SUMMER,2019,CLOACA,DURING
ITS0093C,20388.0,1537.0,7952.0,2236.0,1479.0,1654.0,651.0,302.0,0.0,0.0,37.0,0.0,0.0,30.0,0.0,0.0,SC0093,ID073,MARVIN,ND,JUVENILE,02.Mar,ND,32.2,ND,SICK,10,10 DAYS,CRO,PREMANTURA,"44.8031° N, 13.9127° E",11,2019-11,NOVEMBER,AUTUMN,2019,CLOACA,DURING
ITS0093W,24895.0,2812.0,12429.0,2426.0,1458.0,1967.0,465.0,335.0,193.0,0.0,0.0,48.0,0.0,0.0,0.0,21.0,FW0093,ID073,MARVIN,ND,JUVENILE,02.Mar,ND,32.2,ND,SICK,10,10 DAYS,CRO,PREMANTURA,"44.8031° N, 13.9127° E",11,2019-11,NOVEMBER,AUTUMN,2019,WATER,DURING
ITS0094C,24371.0,819.0,1356.0,22.0,186.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0094,ID074,RYAN,ND,JUVENILE,2,ND,ND,ND,MILD,2,2 DAYS,CRO,"Ližnjan, uvala Lakošaše","44.8164° N, 13.9930° E",11,2019-11,NOVEMBER,AUTUMN,2019,CLOACA,DURING
ITS0113C,75786.0,446.0,29609.0,6807.0,14144.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0113,ID093,ELLA-RAVKA,ND,SUB-ADULT,20,60,62,58,MILD,0,0 DAYS,CRO,Zadar harbour /Jazine bay,"44.1194° N, 15.2314° E",6,2020-06,JUNE,SUMMER,2020,CLOACA,BEFORE
ITS0117C,25880.0,1507.0,13913.0,1559.0,1506.0,2056.0,422.0,706.0,45.0,0.0,0.0,0.0,0.0,80.0,52.0,0.0,SC0117,ID096,MARO,FEMALE,SUB-ADULT,15-20,65,67,63.2,SICK,30,1 MONTH,CRO,KORČULA BAY,"42.9625° N, 17.1333° E",7,2020-07,JULY,SUMMER,2020,CLOACA,DURING
ITS0117W,6684.0,627.0,2581.0,854.0,389.0,394.0,78.0,48.0,28.0,0.0,18.0,21.0,0.0,0.0,0.0,0.0,WF0117,ID096,MARO,FEMALE,SUB-ADULT,15-20,65,67,63.2,SICK,30,1 MONTH,CRO,KORČULA BAY,"42.9625° N, 17.1333° E",7,2020-07,JULY,SUMMER,2020,WATER,DURING
ITS0118C,10584.0,27.0,891.0,1152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0118,ID096,MARO,FEMALE,SUB-ADULT,15-20,65,67,63.2,SICK,60,2 MONTHS,CRO,KORČULA BAY,"42.9625° N, 17.1333° E",7,2020-07,JULY,SUMMER,2020,CLOACA,DURING
ITS0118W,29127.0,2163.0,13911.0,6232.0,1324.0,2815.0,439.0,323.0,108.0,0.0,34.0,0.0,0.0,73.0,0.0,0.0,WF0118,ID096,MARO,FEMALE,SUB-ADULT,15-20,65,67,63.2,SICK,60,2 MONTHS,CRO,KORČULA BAY,"42.9625° N, 17.1333° E",7,2020-07,JULY,SUMMER,2020,WATER,DURING
ITS0119C,32688.0,0.0,15885.0,1821.0,6265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0119,ID093,ELLA-RAVKA,ND,SUB-ADULT,20,60,62,58,MILD,60,2 MONTHS,CRO,Zadar harbour /Jazine bay,"44.0931° N, 15.2586° E",8,2020-08,AUGUST,SUMMER,2020,CLOACA,DURING
ITS0119W,32993.0,1943.0,15474.0,2570.0,2332.0,2434.0,448.0,81.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WF0119,ID093,ELLA-RAVKA,ND,SUB-ADULT,20,60,62,58,MILD,60,2 MONTHS,CRO,Zadar harbour /Jazine bay,"44.0931° N, 15.2586° E",8,2020-08,AUGUST,SUMMER,2020,WATER,DURING
ITS0120C,51465.0,942.0,20360.0,5051.0,15522.0,92.0,327.0,27.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0120,ID097,FREEWINGS,ND,JUVENILE,02.May,27.6,28.2,26,MILD,244,8 MONTHS,CRO,MARINA VERUDA,"44.8390° N, 13.8430° E",8,2020-08,AUGUST,SUMMER,2020,CLOACA,DURING
ITS0120W,48884.0,2632.0,31784.0,3487.0,60148.0,2584.0,243.0,138.0,226.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,WF0120,ID097,FREEWINGS,ND,JUVENILE,02.May,27.6,28.2,26,MILD,244,8 MONTHS,CRO,MARINA VERUDA,"44.8390° N, 13.8430° E",8,2020-08,AUGUST,SUMMER,2020,WATER,DURING
ITS0123C,14814.0,2030.0,1332.0,6454.0,107.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0123,ID098,MAKSIMUS,ND,JUVENILE,Oct.15,42.4,45.2,44.2,HEALTHY,30,1 MONTH,CRO,ISLAND PORER,"44.7580° N, 13.8909° E",8,2020-08,AUGUST,SUMMER,2020,CLOACA,DURING
ITS0123W,30787.0,11101.0,12191.0,5882.0,1272.0,2456.0,818.0,295.0,315.0,0.0,86.0,220.0,0.0,0.0,40.0,0.0,WF0123,ID098,MAKSIMUS,ND,JUVENILE,Oct.15,42.4,45.2,44.2,HEALTHY,30,1 MONTH,CRO,ISLAND PORER,"44.7580° N, 13.8909° E",8,2020-08,AUGUST,SUMMER,2020,WATER,DURING
ITS0141C,15350.0,636.0,5910.0,706.0,999.0,1284.0,256.0,157.0,92.0,0.0,30.0,0.0,29.0,0.0,0.0,0.0,SC0141,ID117,KARLO ALBANO,MALE,ADULT,ND,79,73,73,HEALTHY,6,6 DAYS,CRO,okolica Telašćice,"43.8895° N, 15.1617° E",3,2020-03,MARCH,SPRING,2021,CLOACA,DURING
ITS0142C,14377.0,80851.0,824.0,3701.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0142,ID118,OLIVER RAUL,ND,JUVENILE,ND,25.6,26,24.2,MILD,3,3 DAYS,CRO,okolica Medulina,"44.8217° N, 13.9369° E",4,2020-04,APRIL,SPRING,2021,CLOACA,DURING
ITS0143C,91409.0,396.0,17311.0,5321.0,12655.0,989.0,377.0,73.0,23.0,0.0,0.0,0.0,40.0,83.0,0.0,23.0,SC0143,ID119,MARTIN,ND,JUVENILE,ND,36.8,37.8,34.8,SICK,2,2 DAYS,CRO,"uvala Sv. Martin, istočna strana Malog Lošinja","44.5316° N, 14.4720° E",4,2020-04,APRIL,SPRING,2021,CLOACA,DURING
ITSNEGCTRL,34957.0,2049.0,15326.0,1775.0,592.0,3104.0,1355.0,673.0,363.0,0.0,5.0,0.0,70.0,20.0,40.0,0.0,negctrl,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,NEGCTRL,ND
