index,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__unidentified;c__unidentified,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__GS37,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Ascomycota;c__unidentified,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Blastocladiomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Basidiomycota;c__Wallemiomycetes,k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes,k__Fungi;p__Glomeromycota;c__unidentified,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__Dacrymycetes,k__Fungi;p__Basidiobolomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__GS27,k__Fungi;p__Monoblepharomycota;c__Sanchytriomycetes,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Olpidiomycota;c__GS17,k__Fungi;p__Glomeromycota;__,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Mucoromycota;c__Endogonomycetes,k__Fungi;p__Ascomycota;c__Taphrinomycetes,k__Fungi;p__Ascomycota;c__Lichinomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Zoopagomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__Tritirachiomycetes,TBSampleID,TurtleID,TurtleName,TurtleSex,AgeRange,EstimatedAge,SCL,CCL,CCW,TurtleHealth,DaysPriorSampling,TimePriorSampling,Locality,LocalitySpecified,LocalityGeo,SamplingMoNo,SamplingMoYeNo,SamplingMonth,SamplingSeason,SamplingYear,SampleSite,SampleType
ITS0064C,4132.0,21580.0,3470.0,937.0,521.0,1211.0,2281.0,1161.0,1452.0,5053.0,900.0,880.0,25.0,463.0,85.0,0.0,43.0,108.0,65.0,38.0,0.0,0.0,42.0,134.0,0.0,0.0,0.0,7.0,45.0,0.0,0.0,40.0,39.0,0.0,0.0,12.0,30.0,84.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,14.0,0.0,0.0,28.0,0.0,0.0,38.0,46.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0064,ID047,ZAL,ND,JUVENILE,15,53.5,ND,51,HEALTHY,6,6 DAYS,CRO,"Albanež, Kamenjak, HR","44.7681° N, 13.9225° E",5,2019-05,MAY,SPRING,2019,CLOACA,DURING
ITS0064W,36003.0,452.0,24776.0,5286.0,889.0,3871.0,10283.0,9331.0,18145.0,535.0,226.0,405.0,140.0,1304.0,18.0,15.0,48.0,0.0,16.0,133.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,48.0,82.0,0.0,0.0,33.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,24.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,FW0064,ID047,ZAL,ND,JUVENILE,15,53.5,ND,51,HEALTHY,6,6 DAYS,CRO,"Albanež, Kamenjak, HR","44.7681° N, 13.9225° E",5,2019-05,MAY,SPRING,2019,WATER,DURING
ITS0073C,40619.0,316.0,27912.0,4500.0,737.0,3859.0,9363.0,6163.0,17473.0,705.0,143.0,266.0,69.0,1163.0,0.0,67.0,104.0,0.0,28.0,9.0,0.0,22.0,133.0,6.0,0.0,0.0,0.0,0.0,123.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0073,ID056,SAMBA,FEMALE,ADULT,20-25,74,ND,70,SICK,1,1 DAY,CRO,"Ston, HR","42.8387° N, 17.6963° E",6,2019-06,JUNE,SPRING,2019,CLOACA,DURING
ITS0073W,16689.0,5163.0,12863.0,2014.0,2935.0,6372.0,10217.0,7320.0,4330.0,9590.0,3291.0,3337.0,311.0,1895.0,148.0,176.0,358.0,496.0,98.0,40.0,385.0,129.0,107.0,388.0,0.0,211.0,0.0,66.0,188.0,44.0,56.0,380.0,0.0,33.0,175.0,0.0,0.0,82.0,335.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,42.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW0073,ID056,SAMBA,FEMALE,ADULT,20-25,74,ND,70,SICK,1,1 DAY,CRO,"Ston, HR","42.8387° N, 17.6963° E",6,2019-06,JUNE,SPRING,2019,WATER,DURING
ITS0074C,9789.0,1823.0,11836.0,2625.0,2767.0,1951.0,7809.0,4519.0,2019.0,504.0,3254.0,3360.0,618.0,1339.0,244.0,175.0,415.0,223.0,346.0,105.0,76.0,156.0,0.0,397.0,0.0,105.0,0.0,195.0,24.0,0.0,0.0,449.0,0.0,0.0,0.0,21.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0074,ID057,ANGELO,MALE,ADULT,35-40,58.3,77,71.6,MILD,0,0 DAY,IT,"Maratea, IT","39.9985° N, 15.7185° E",6,2019-06,JUNE,SUMMER,2019,CLOACA,BEFORE
ITS0084C,32864.0,1955.0,18101.0,5905.0,1174.0,3242.0,6869.0,7342.0,15362.0,532.0,448.0,387.0,166.0,1352.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,150.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0084,ID010,MERRY FISHER,FEMALE,ADULT,20,ND,69.7,64,SICK,305,10 MONTHS,CRO,"Korčula, HR","42.9584° N, 17.1342° E",10,2019-10,OCTOBER,AUTUMN,2019,CLOACA,DURING
ITS0084W,45844.0,327.0,20680.0,3948.0,599.0,4611.0,6354.0,11752.0,15182.0,238.0,204.0,258.0,136.0,321.0,22.0,151.0,26.0,0.0,0.0,70.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,57.0,75.0,0.0,0.0,18.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW0084,ID011,MERRY FISHER,FEMALE,ADULT,20,ND,69.7,64,SICK,335,11 MONTHS,CRO,"Korčula, HR","42.9584° N, 17.1342° E",10,2019-10,OCTOBER,AUTUMN,2019,WATER,DURING
ITS0087C,24299.0,3667.0,21055.0,5479.0,5699.0,2890.0,15555.0,8606.0,6472.0,269.0,4912.0,5911.0,1824.0,1530.0,1003.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0,1068.0,205.0,569.0,339.0,334.0,576.0,462.0,0.0,0.0,172.0,0.0,284.0,0.0,227.0,117.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0087,ID069,KANOOH,ND,JUVENILE,ND,46.5,46.5,52.5,MILD,2,2 DAYS,IT,"Molfetta (BA), IT","41.2028° N, 16.5987° E",7,2019-07,JULY,SUMMER,2019,CLOACA,DURING
ITS0088C,27035.0,740.0,14538.0,5865.0,1132.0,386.0,8343.0,5743.0,11842.0,56.0,1003.0,1060.0,0.0,35.0,0.0,918.0,0.0,0.0,305.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0088,ID69,KANFUS,ND,JUVENILE,ND,44.7,49,45.5,SICK,0,0 DAYS,IT,"Molfetta (BA), IT","41.2028° N, 16.5987° E",7,2019-07,JULY,SUMMER,2019,CLOACA,BEFORE
ITS0089C,15895.0,2418.0,9956.0,2119.0,2036.0,2612.0,8568.0,7980.0,1207.0,3269.0,4847.0,3969.0,2563.0,1260.0,42.0,300.0,218.0,48.0,169.0,88.0,201.0,26.0,164.0,492.0,29.0,83.0,76.0,239.0,155.0,0.0,0.0,707.0,86.0,40.0,62.0,16.0,0.0,131.0,538.0,0.0,0.0,65.0,18.0,0.0,14.0,5.0,128.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,25.0,0.0,0.0,14.0,SC0089,ID070,FUTON,ND,JUVENILE,ND,45,43,40.5,SICK,1,1 DAY,IT,"Molfetta (BA), IT","41.2028° N, 16.5987° E",7,2019-07,JULY,SUMMER,2019,CLOACA,DURING
