taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;__	1.1636683676089645	0.8822552974255183	1	FALSE	0.190661504252405	0.2398774216102669	0.09129989561438423	0.1820126579540436	0.23987742161026696	0.09129989561438424	0.02112840376115605
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera	10.295765570569056	0.011623392638498858	1	FALSE	0.05180296333833328	0	0.04362694551907239	0	0	0.04362694551907244	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__uncultured	7.149895545830055	0.056033777952906656	1	FALSE	0.12601768143037934	0.05546903231103492	0	0	0.055469032311034915	0	0
d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2;f__WPS-2;g__WPS-2	1.3432289262340467	0.9782337806315153	1	FALSE	0.12197050023030613	0.037553579446037044	0.047207217348659646	0.01652223455852887	0.03755357944603705	0.04720721734865964	0.04820046395666346
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallaceae	6.992030224444548	0.0606359133646813	1	FALSE	0.38510599959068936	0	0.06409235175138196	0.27123015085511437	0	0.06409235175138198	0.08293522600375393
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured	0.2446183456990752	0.23025050608074155	1	FALSE	0.06055734198007071	0.08264743333832063	0.09188553694093056	0.019030279959364352	0.08264743333832063	0.09188553694093056	0.11643849821547467
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum	4.305230241413306	0.23235987120546633	1	FALSE	0.13524936671642165	0.05086211173960809	0.3679335756028453	0.3254347738475611	0.05086211173960808	0.3679335756028453	0.32573268468422023
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured	8.885684455388848	0.023524918753640756	1	FALSE	0.004577164012190116	0.015390061378629732	0.25589671887035187	0	0.015390061378629733	0.2558967188703519	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__	0.6400678736124632	0.5477512113746498	1	FALSE	0.09816233109176135	0.005061904608682987	0.013978614130325546	0.003741766804163045	0.005061904608682979	0.01397861413032554	0.01705486205802003
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	8.974043485014567	0.022508223178364907	1	FALSE	0	0	0.08607572707394337	0	0	0.08607572707394334	0.028081009747670877
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Campbellbacteria;f__Candidatus_Campbellbacteria;g__Candidatus_Campbellbacteria	7.1160686214662485	0.056989563171161384	1	FALSE	0.11282014719089245	0.18213747128067603	0	0.29840693859726863	0.18213747128067603	0	0.06636398841521926
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade;f__KI89A_clade;g__KI89A_clade	7.265875052588496	0.05287681342582497	1	FALSE	0.1666045933967488	0.048331861803573004	0	0	0.048331861803573004	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae;g__uncultured	1.173369510665835	0.8876638701171079	1	FALSE	0.10089204872021869	0.07879168682418668	0.1293692843068408	0.07261801141664093	0.07879168682418668	0.1293692843068408	0.012343399805733147
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02	4.992395379128627	0.1647954107962943	1	FALSE	0.18445692628129998	0	0.26817175077248095	0	0	0.26817175077248095	0.18592420148187588
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__uncultured	25.900873938358	4.750361732441703e-6	0.00256519533551852	TRUE	0.29184125047750853	0.18336907473531558	0	0	0.18336907473531558	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;__	1.6815465595683796	0.8627536388971788	1	FALSE	0.08842993949431634	0.2632588937394578	0.020001149329784144	0.27657809612124434	0.2632588937394578	0.020001149329784147	0.2983962885810144
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__uncultured	3.2417931319929103	0.3954426987080441	1	FALSE	0.29864214043422066	0.2210251276973206	0.22935500377612553	0.27048525047002747	0.2210251276973206	0.22935500377612547	0.024864970560324787
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	6.577902842335087	0.07458586696382308	1	FALSE	0.2809901201749185	0	0.20956510741810652	0.26188717878155887	0	0.20956510741810655	0.04629463339818349
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;__	0.1903864683923131	0.18160554100623177	1	FALSE	0.04663370872086235	0.015965369430517757	0.033457811459076	0.008557054929012963	0.015965369430517767	0.03345781145907601	0.02164345703435006
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter	13.044862525933036	0.0029401811543422994	1	FALSE	0.16138645420425468	0.1478710717852515	0	0	0.14787107178525155	0	0.44678129695151103
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	8.14747532934877	0.03402735618796169	1	FALSE	0.09112344711695211	0	0.064067806919712	0	0	0.064067806919712	0.06693252814038203
