taxon	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;__	0.8252270963861619	0.16270323630360398	-0.6625238600825579	0.7746805124373458	0.9720028630689322	1.0390569472860147	1.0652482967330408	0.16738966775251712	-0.6376203554704583	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.190661504252405	0.2398774216102669	0.09129989561438423	0.1820126579540436	0.23987742161026696	0.09129989561438424	0.02112840376115605
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera	2.1392736249776347	-0.9073015149223013	-3.046575139899936	0.8082598538320718	1.013644186113806	1.0808562705155407	2.6467646695985736	-0.8950887573289301	-2.818668145808876	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.05180296333833328	0	0.04362694551907239	0	0	0.04362694551907244	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__uncultured	-0.6659155802207339	-3.405341131580969	-2.7394255513602355	1.0219142571308857	1.278677172458455	1.3483001777155565	-0.6516354729117397	-2.6631750413074737	-2.0317623602198744	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.12601768143037934	0.05546903231103492	0	0	0.055469032311034915	0	0
d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2;f__WPS-2;g__WPS-2	0.6256822032503202	0.05948362758687966	-0.5661985756634406	0.5502657721035182	0.6938330236706951	0.7624763881942	1.1370545561256795	0.08573190603148863	-0.7425785039775314	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.12197050023030613	0.037553579446037044	0.047207217348659646	0.01652223455852887	0.03755357944603705	0.04720721734865964	0.04820046395666346
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallaceae	-1.149757584531107	-0.45355704526985574	0.69620053926125125	0.43679071173982803	0.5532479144304749	0.6255861622404014	-2.632284876094054	-0.8198079621081933	1.1128771403254185	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.38510599959068936	0	0.06409235175138196	0.27123015085511437	0	0.06409235175138198	0.08293522600375393
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured	0.26945149520045064	-0.39585839212491636	-0.665309887325367	1.0247083403598194	1.282143945750385	1.3518109772923919	0.262954330112932	-0.3087472303222842	-0.49216192093509153	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.06055734198007071	0.08264743333832063	0.09188553694093056	0.019030279959364352	0.08264743333832063	0.09188553694093056	0.11643849821547467
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum	0.318294320297081	-1.5554227213558585	-1.8737170416529394	0.6897538391186047	0.8667064002671164	0.933741110757102	0.46146074475469445	-1.794636246918774	-2.0066772471158307	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.13524936671642165	0.05086211173960809	0.3679335756028453	0.3254347738475611	0.05086211173960808	0.3679335756028453	0.32573268468422023
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured	-1.2384297156178856	2.470541443025158	3.7089711586430436	0.9390184408095071	1.175832022689886	1.2442769923701562	-1.3188555855732318	2.101100663488852	2.9808243513190935	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.004577164012190116	0.015390061378629732	0.25589671887035187	0	0.015390061378629733	0.2558967188703519	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__	-0.37644959736668143	-0.05864536112807805	0.3178042362386034	0.47376015338328237	0.5990497431951274	0.669869523839465	-0.794599534549976	-0.09789731452897994	0.47442707113626736	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.09816233109176135	0.005061904608682987	0.013978614130325546	0.003741766804163045	0.005061904608682979	0.01397861413032554	0.01705486205802003
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-3.06884695545565	-1.963334331443886	1.1055126240117639	1.0430161389944113	1.3048598572960453	1.3748216926338799	-2.9422813710383955	-1.5046323330938725	0.8041134569922487	1	1	1	1	1	1	FALSE	FALSE	FALSE	0	0	0.08607572707394337	0	0	0.08607572707394334	0.028081009747670877
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Campbellbacteria;f__Candidatus_Campbellbacteria;g__Candidatus_Campbellbacteria	1.310667987328797	2.9743720323838936	1.6637040450550966	0.9159873115494548	1.147261410473682	1.2154278587791238	1.4308800687552243	2.5925843972698717	1.3688217141297538	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.11282014719089245	0.18213747128067603	0	0.29840693859726863	0.18213747128067603	0	0.06636398841521926
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade;f__KI89A_clade;g__KI89A_clade	-0.07570327322102784	1.677908092382117	1.753611365603145	0.5181800693822977	0.6540800954868863	0.723496047766897	-0.1460945290915391	2.56529453190761	2.423802273717659	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.1666045933967488	0.048331861803573004	0	0	0.048331861803573004	0	0
