taxon	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;__;__	0.7375467870882896	0.1702567151713208	-0.5672900719169688	0.7723664835242828	0.9652321879890937	1.0303652122637932	0.9549181675037061	0.17638938826317357	-0.5505718410956325	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.18957094187992277	0.2623024828059931	0.09031086447622715	0.19835189096242178	0.2623024828059931	0.09031086447622715	0.03983362741539994
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__uncultured_organism	2.244505756175799	-0.7199657486938149	-2.964471504869614	0.6731827401578854	0.8421722467720739	0.9075759499613271	3.3341700882725878	-0.854891325917401	-3.2663619006166194	8.555432436818472e-4	0.39261131305900987	0.0010893892857655092	0.026076958067422704	1	0.03211519614436721	TRUE	FALSE	TRUE	0.021364298313246582	0	0.029129418666641652	0	0	0.02912941866664165	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__uncultured;s__uncultured_bacterium	-0.7535958895186063	-3.3977876527132533	-2.644191763194647	1.0190499934808277	1.2713886874378297	1.338727315099993	-0.7395082619494511	-2.672501089781329	-1.9751533664621952	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.12624804202304105	0.07025359255261868	0	0	0.07025359255261868	0	0
d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2;f__WPS-2;g__WPS-2;s__hydrothermal_vent	0.8363980068942508	0.08147729550452384	-0.7549207113897269	0.49486442733101266	0.6209939085417848	0.6900282277097474	1.6901558501694198	0.13120466140456752	-1.0940432305144419	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.19033802563576627	0	0.034850434846095305	0.19030157969350922	0	0.034850434846095305	0.07552731369480291
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallaceae;s__uncultured_bacterium	-1.2436827680509885	-0.43234508242923986	0.8113376856217487	0.4272312378940442	0.5371140013124942	0.6092428314559151	-2.9110295730749653	-0.8049410020456728	1.3317147838783512	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.3977683435074684	0	0.05908708237078955	0.38897392090140626	0	0.05908708237078956	0.1548179983279061
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__uncultured_Bacteroidetes	1.5081415293898626	0.8364316461256149	-0.6717098832642476	0.9245100814390305	1.1540436546000727	1.2201725157256966	1.631287272760066	0.7247833674155728	-0.5505040267725984	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.1305524145127626	0.07581165592662284	0.35602164469703745	0.08774022122528381	0.07581165592662281	0.35602164469703745	0.1686435645966934
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;__	0.9578124459028737	-0.7001152672485493	-1.6579277131514232	0.8626073438949046	1.0772164103899557	1.1427750600552566	1.110368990806515	-0.6499300052392494	-1.4507909483702395	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.07439756552077924	0.08283082799952578	0.09957908225804464	0.01788992533003513	0.0828308279995258	0.09957908225804464	0.08380921133904352
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured;s__uncultured_gamma	-0.6451426397361539	2.4775308078755	3.122673447611654	0.5765617679904538	0.7223177464157183	0.7890445375996753	-1.118948004451859	3.429973609494563	3.9575376278644923	0.26316232179294213	6.036399564825752e-4	7.572636136425627e-5	1	0.01779530591710632	0.002308139494382531	FALSE	TRUE	TRUE	0.09196377843294878	0.0770575079267999	0	0	0.07705750792679993	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__;__	-0.4641299066645538	-0.051091882260361265	0.4130380244041925	0.4730642215413448	0.5939579164037639	0.6638532193767096	-0.9811139492906881	-0.08601936408173025	0.6221827541817045	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.09368020552289529	0.03693876030805533	0.015314851197221969	0.032708230508812254	0.03693876030805534	0.015314851197221965	0.04528986153544889
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	-3.2614475171362067	-2.0619457875027236	1.1995017296334831	0.9739533253828528	1.215412056538413	1.2821279292948262	-3.348669214568531	-1.696499369419869	0.9355554170738737	1	1	1	1	1	1	FALSE	FALSE	FALSE	0	0	0.16849571607949626	0	0	0.16849571607949623	0.0961911814400975
