taxon	lfc_(Intercept)	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	se_(Intercept)	se_SampleSiteORAL	se_SampleSiteTANK WATER	W_(Intercept)	W_SampleSiteORAL	W_SampleSiteTANK WATER	p_(Intercept)	p_SampleSiteORAL	p_SampleSiteTANK WATER	q_(Intercept)	q_SampleSiteORAL	q_SampleSiteTANK WATER	diff_(Intercept)	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;__;__	-0.17371582948585332	0.7375467870882896	0.1702567151713208	0.5214338348641676	0.7723664835242828	0.9652321879890937	-0.33315028268371943	0.9549181675037061	0.17638938826317357	0.7390208450678678	0.3396190815945876	0.8599880408998607	1	1	1	FALSE	FALSE	FALSE	0.18957094187992277	0.2623024828059931	0.09031086447622715	0.19835189096242178	0.2623024828059931	0.09031086447622715	0.03983362741539994
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__uncultured_organism	-0.5688219642411807	2.244505756175799	-0.7199657486938149	0.4543549229403074	0.6731827401578854	0.8421722467720739	-1.2519330935386648	3.3341700882725878	-0.854891325917401	0.21059424471776164	8.555432436818472e-4	0.39261131305900987	1	0.6425129760050673	1	FALSE	FALSE	FALSE	0.021364298313246582	0	0.029129418666641652	0	0	0.02912941866664165	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__uncultured;s__uncultured_bacterium	1.0449501651370987	-0.7535958895186063	-3.3977876527132533	0.68825616605343	1.0190499934808277	1.2713886874378297	1.518257614935742	-0.7395082619494511	-2.672501089781329	0.12894946818972067	0.45959842472151013	0.007528812994844991	1	1	1	FALSE	FALSE	FALSE	0.12624804202304105	0.07025359255261868	0	0	0.07025359255261868	0	0
d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2;f__WPS-2;g__WPS-2;s__hydrothermal_vent	-0.19398057738262092	0.8363980068942508	0.08147729550452384	0.3337475605046086	0.49486442733101266	0.6209939085417848	-0.5812194614676212	1.6901558501694198	0.13120466140456752	0.5610925528550808	0.09099814231370298	0.8956134085701234	1	1	1	FALSE	FALSE	FALSE	0.19033802563576627	0	0.034850434846095305	0.19030157969350922	0	0.034850434846095305	0.07552731369480291
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallaceae;s__uncultured_bacterium	0.6755978277939825	-1.2436827680509885	-0.43234508242923986	0.28800183983153294	0.4272312378940442	0.5371140013124942	2.345810805198933	-2.9110295730749653	-0.8049410020456728	0.01898574196401404	0.0036023991950644204	0.4208537261314376	1	1	1	FALSE	FALSE	FALSE	0.3977683435074684	0	0.05908708237078955	0.38897392090140626	0	0.05908708237078956	0.1548179983279061
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__uncultured_Bacteroidetes	-0.5843882788918888	1.5081415293898626	0.8364316461256149	0.6243242270538882	0.9245100814390305	1.1540436546000727	-0.9360333198177293	1.631287272760066	0.7247833674155728	0.349256032580652	0.10282971762378049	0.46858494111940036	1	1	1	FALSE	FALSE	FALSE	0.1305524145127626	0.07581165592662284	0.35602164469703745	0.08774022122528381	0.07581165592662281	0.35602164469703745	0.1686435645966934
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;__	-0.0937454732457226	0.9578124459028737	-0.7001152672485493	0.5824618957765975	0.8626073438949046	1.0772164103899557	-0.16094696309830123	1.110368990806515	-0.6499300052392494	0.8721351732293146	0.26684005488533863	0.5157374353863091	1	1	1	FALSE	FALSE	FALSE	0.07439756552077924	0.08283082799952578	0.09957908225804464	0.01788992533003513	0.0828308279995258	0.09957908225804464	0.08380921133904352
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured;s__uncultured_gamma	-0.08848703675195414	-0.6451426397361539	2.4775308078755	0.38900574389822384	0.5765617679904538	0.7223177464157183	-0.2274697434161927	-1.118948004451859	3.429973609494563	0.8200584938606346	0.26316232179294213	6.036399564825752e-4	1	1	0.4279807291461458	FALSE	FALSE	FALSE	0.09196377843294878	0.0770575079267999	0	0	0.07705750792679993	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__;__	0.3146008188745874	-0.4641299066645538	-0.051091882260361265	0.3190022115314145	0.4730642215413448	0.5939579164037639	0.9862026265093975	-0.9811139492906881	-0.08601936408173025	0.32403369068296634	0.3265365522823927	0.9314510239679441	1	1	1	FALSE	FALSE	FALSE	0.09368020552289529	0.03693876030805533	0.015314851197221969	0.032708230508812254	0.03693876030805534	0.015314851197221965	0.04528986153544889
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	1.7295755400254098	-3.2614475171362067	-2.0619457875027236	0.6577600879984032	0.9739533253828528	1.215412056538413	2.629492989288229	-3.348669214568531	-1.696499369419869	0.00855122950505595	8.120067852414538e-4	0.08979134948904996	1	0.6106291025015732	1	FALSE	FALSE	FALSE	0	0	0.16849571607949626	0	0	0.16849571607949623	0.0961911814400975
