taxon	lfc_(Intercept)	lfc_SampleSiteCLOACA	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	se_(Intercept)	se_SampleSiteCLOACA	se_SampleSiteORAL	se_SampleSiteTANK WATER	W_(Intercept)	W_SampleSiteCLOACA	W_SampleSiteORAL	W_SampleSiteTANK WATER	p_(Intercept)	p_SampleSiteCLOACA	p_SampleSiteORAL	p_SampleSiteTANK WATER	q_(Intercept)	q_SampleSiteCLOACA	q_SampleSiteORAL	q_SampleSiteTANK WATER	diff_(Intercept)	diff_SampleSiteCLOACA	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	-0.030944025875475487	0.28031068714665275	-0.6731541832102192	-0.028405824736269625	0.558556740449596	0.7520856096044757	0.7791494553745663	0.9505495803399518	-0.05539996858791442	0.372711142942981	-0.8639602820316532	-0.029883580324248468	0.9558198208639623	0.7093634422251465	0.3876097095606633	0.9761599010047063	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.07829923527995622	0.09115663990338843	0.018610230254403583	0.1179941222545434	0.04810456661295156	0.09115663990338843	0.01861023025440357	0.1179941222545434	0.14142057136821712	0.051095231437966813	0.1286635699869939	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group	-1.0431689665832007	2.18222165927376	0.3475902100528245	0.7516976500667656	0.5647863477099597	0.7604104126983029	0.787817750625353	0.9611062727354005	-1.8470151957690548	2.8697945515109207	0.4412063700988138	0.7821170992125169	0.06474493797822217	0.004107385775611522	0.6590636019953918	0.434145758545127	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.22781774875929267	0	0.019367850318966182	0.05729206744513158	0	0	0.019367850318966186	0.05729206744513163	0	0.3224371202865952	0.06444878598843722	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured	0.796879901535624	-1.6655774210555925	-0.5438065218181408	-1.667340364270563	0.5410355047163685	0.7286716455400016	0.7547692858797949	0.9208582145324953	1.472879126395557	-2.285772242202826	-0.7204937084638442	-1.8106374444594	0.14078363142022532	0.022267586381434147	0.47122107204611213	0.07019699198012741	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0	0	0.12923813615924815	0	0	0	0.12923813615924812	0	0	0.11285075734036769	0.07289388391607482	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae;g__Fusibacter	-0.2735670072211029	0.6678440758445163	1.0908005037862445	-2.7176903821308263	0.5799138580993711	0.7806259157437873	0.8088672491908377	0.986741478352145	-0.4717373165002479	0.8555238333436427	1.3485531833282196	-2.7542070965430177	0.6371142979025145	0.39226121593877555	0.1774805267830379	0.005883452621787772	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.04576224976162241	0.023563880733173233	0.038155605910203005	0	0	0.023563880733173254	0.038155605910203026	0	0.04334934013266199	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190	0.33350247994320814	-1.6299440427992615	0.3525807297035143	-0.18525783412764718	0.694047047482534	0.9331585441942467	0.9676844104281089	1.1801609906244959	0.4805185486385934	-1.7466957281162414	0.36435507889140284	-0.15697674774830156	0.6308587171159419	0.08069013179495323	0.7155928752116228	0.875263173499303	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.15810135273543047	0	0.07616810055431443	0.042153221241559444	0	0	0.07616810055431443	0.042153221241559444	0	0.09867419169523235	0.025524827888559354	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__SM2D12	0.192510866059666	-1.1897538257098468	-0.541012056186109	1.5786651727199237	0.5471118688113978	0.7367915852320356	0.7632243201070118	0.9311551631669998	0.35186746446918876	-1.614776620087431	-0.7088506510251844	1.6953835785548825	0.7249376603503517	0.10635907796750364	0.4784171618524018	0.09000267903230898	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.18138757363962485	0	0.02608809096823634	0.3903284216991703	0	0	0.02608809096823634	0.39032842169917037	0.17326999181394814	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	-0.5694014642518043	-0.11135318347456079	1.2786692140648859	0.9019655016672828	0.7459074757351652	1.002475025019283	1.0398512968768105	1.2680535886137292	-0.7633674185804387	-0.11107826199701969	1.2296654511134082	0.7112991988401185	0.4452443051815529	0.9115542864673071	0.21882240942974968	0.47689884795030907	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.18676881185795666	0.15466534960757047	0.26666530531082494	0.035780587063636675	0.047503170664952576	0.15466534960757047	0.26666530531082494	0.035780587063636696	0.04631472172290413	0.14935584088486883	0.08991090218070966	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	0.21422517527139467	-1.342980200838084	0.34282153422338385	0.01748189104546084	0.4815294751256231	0.6491520795448055	0.6719686255913762	0.8200193619311715	0.4448848644530158	-2.0688221499341117	0.5101749116957337	0.021318875940063698	0.6564029611574304	0.03856277909098554	0.6099289269681307	0.9829912864378896	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.0069128818045927146	0	0.04253467116880274	0.0012236577479451322	0	0	0.04253467116880274	0.0012236577479451322	0	0	0.030901558265193866	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus	-0.9726016687084148	1.6109194842920134	0.9229446692074446	0.446218487746978	0.630342266830436	0.8480178260388305	0.8790377670778295	1.072199591859552	-1.5429739046359199	1.8996292705505577	1.0499488233316459	0.4161711039015471	0.12283710757570385	0.057481788199376556	0.2937416425881184	0.6772848027677552	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.18858004933818695	0.21067016905746394	0.119117017876426	0.02176050420278082	0.1561983567545515	0.21067016905746405	0.11911701787642602	0.02176050420278082	0.021683002082194244	0.09440201425305268	0.048951981994573374	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	-1.4765682573169585	2.78598255534831	1.4277946656545146	0.2995014685060712	0.6605080425783173	0.8883330988614452	0.9210138011692903	1.1233212881177577	-2.2355038275584356	3.1361913216101436	1.5502424218202064	0.26662137687065224	0.025384290625694056	0.0017115750703259153	0.12108334133426939	0.7897606949042586	1	0.5562618978559225	1	1	FALSE	FALSE	FALSE	FALSE	0.35911119167594363	0	0.24274000744834007	0.014374828729452852	0.5131984067106297	0	0.24274000744834004	0.014374828729452852	0.09367068957400364	0.3278086542688862	0.13942299486379947	FALSE	FALSE	FALSE	FALSE
