taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	1.321830061106545	0.5520880895391734	1	FALSE	0.07829923527995622	0.09115663990338843	0.018610230254403583	0.1179941222545434	0.04810456661295156	0.09115663990338843	0.01861023025440357	0.1179941222545434	0.14142057136821712	0.051095231437966813	0.1286635699869939	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group	8.73294587942726	0.06612106175740022	1	FALSE	0.22781774875929267	0	0.019367850318966182	0.05729206744513158	0	0	0.019367850318966186	0.05729206744513163	0	0.3224371202865952	0.06444878598843722	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured	6.748063964215106	0.16075283849105837	1	FALSE	0	0	0.12923813615924815	0	0	0	0.12923813615924812	0	0	0.11285075734036769	0.07289388391607482	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae;g__Fusibacter	14.207496308032322	0.005271795427000156	1	FALSE	0.04576224976162241	0.023563880733173233	0.038155605910203005	0	0	0.023563880733173254	0.038155605910203026	0	0.04334934013266199	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190	4.606448668672552	0.4059791594116716	1	FALSE	0.15810135273543047	0	0.07616810055431443	0.042153221241559444	0	0	0.07616810055431443	0.042153221241559444	0	0.09867419169523235	0.025524827888559354	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__SM2D12	8.24343769510722	0.08247917887117381	1	FALSE	0.18138757363962485	0	0.02608809096823634	0.3903284216991703	0	0	0.02608809096823634	0.39032842169917037	0.17326999181394814	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	2.285714440634792	0.9694736721585395	1	FALSE	0.18676881185795666	0.15466534960757047	0.26666530531082494	0.035780587063636675	0.047503170664952576	0.15466534960757047	0.26666530531082494	0.035780587063636696	0.04631472172290413	0.14935584088486883	0.08991090218070966	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	6.0238456640983316	0.22091165519693726	1	FALSE	0.0069128818045927146	0	0.04253467116880274	0.0012236577479451322	0	0	0.04253467116880274	0.0012236577479451322	0	0	0.030901558265193866	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus	3.7924329165315096	0.5695350745190105	1	FALSE	0.18858004933818695	0.21067016905746394	0.119117017876426	0.02176050420278082	0.1561983567545515	0.21067016905746405	0.11911701787642602	0.02176050420278082	0.021683002082194244	0.09440201425305268	0.048951981994573374	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	10.789121298861337	0.025845157234772997	1	FALSE	0.35911119167594363	0	0.24274000744834007	0.014374828729452852	0.5131984067106297	0	0.24274000744834004	0.014374828729452852	0.09367068957400364	0.3278086542688862	0.13942299486379947	FALSE	FALSE	FALSE	FALSE
