taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group;s__uncultured_bacterium	9.682494355848819	0.04293424118387935	1	FALSE	0.23910375861111752	0	0.05120980652265131	0.029334946336737413	0	0	0.05120980652265131	0.029334946336737427	0	0.35698989272374365	0.09075118759890424	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured;__	6.136609681602922	0.21029951681417616	1	FALSE	0	0	0	0	0	0	0	0	0.032572046531633154	0.15459892093868818	0.058445168798089746	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__marine_metagenome	3.5709640964804805	0.623348549536354	1	FALSE	0.268334650146365	0.1448593645742009	0.28453085453041976	0.03667860532940015	0.13019777609048808	0.1448593645742009	0.28453085453041976	0.036678605329400156	0.027085697347043865	0.16076452472564237	0.12879381882744284	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__SM2D12;__	2.1943871853589467	0.9338904666603287	1	FALSE	0.13622654113666285	0.4255592202107358	0.1315327360927602	0.2425345288950088	0.20095624786007224	0.4255592202107357	0.1315327360927602	0.2425345288950088	0.11450079965562149	0	0.020496963298602427	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_bacterium	7.103539106351341	0.13733967176016626	1	FALSE	0.20542920578183593	0.1532990525236171	0.4222988830225447	0.03655942870012558	0.49041847740066824	0.15329905252361709	0.4222988830225447	0.03655942870012558	0.12646727966604926	0.27110127910593446	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__	6.875569217348475	0.15194269868466195	1	FALSE	0.0018227210931648257	0	0.04484202882199012	0.015432260605878476	0	0	0.04484202882199012	0.01543226060587847	0	0.0809667619878079	0.06262380540683304	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus;__	3.8430423072851827	0.5578382562674177	1	FALSE	0.16849210654675859	0.1884381676644534	0.12296707722747434	0.002039955786258813	0.1569757643840571	0.18843816766445343	0.12296707722747434	0.002039955786258812	0.007565523333951205	0.12682370249974856	0.08358769786785326	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	11.152002878780868	0.021863405509346723	1	FALSE	0.33438974335161525	0	0.24593038535232198	0.003438275463010838	0.5163973583384284	0	0.24593038535232195	0.003438275463010839	0.07274231733400453	0.36872146050003063	0.18314266526161743	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;__	2.2448676214385737	0.9536699995997806	1	FALSE	0.24675313414601832	0.3127642895966747	0.30532458499644577	0.07195464425187757	0.10057379270241115	0.3127642895966746	0.3053245849964458	0.07195464425187757	0.07386841304308739	0.28986784188451775	0.09961507398957854	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales;s__uncultured_bacterium	14.540881828428144	0.004508323099503412	1	FALSE	0.5200445090116103	0.24835772107474183	0.12651568977024197	0	0	0.24835772107474183	0.126515689770242	0	0.1618624850943799	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade;s__uncultured_bacterium	0.8588775524208017	0.3293229750206575	1	FALSE	0.1257554497375626	0.16217235814177566	0.073293751075978	0.09847819207414861	0.03735501715454668	0.16217235814177566	0.07329375107597802	0.0984781920741486	0.04610820479931086	0.08142018624736179	0.1198909825014766	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__uncultured;s__unidentified_marine	0.34313641895119756	0.09655678679891885	1	FALSE	0.13936164977965235	0.2601052483614627	0.09631149379147104	0.12775344804426073	0.04104675004597253	0.2601052483614627	0.09631149379147104	0.12775344804426075	0.07504706225251295	0.13295455387467697	0.06973451364856709	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Sneathiella;s__uncultured_bacterium	4.354195904827535	0.4513405098794231	1	FALSE	0.013428046456229966	0	0.09369337253947367	0.1274317044299879	0.014972150852948353	0	0.09369337253947366	0.12743170442998794	0.13338774683290597	0.07362718954732829	0.020874519898516544	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;__	1.5947057604792307	0.6788183040159707	1	FALSE	0.1595221353949369	0.2917572638997046	0.23118683833074422	0.009566071467280592	0.10743097772915543	0.2917572638997046	0.2311868383307442	0.009566071467280597	0.004648390582593581	0.28409203670785527	0.15096316226674666	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__	15.023715127310405	0.003592988983469316	1	FALSE	0	0	0.019329514275872546	0.10223231755312019	0	0	0.01932951427587257	0.1022323175531202	0	0	0.08446469641858687	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured;__	8.100334594284124	0.08796594322600372	1	FALSE	0.04817229827064575	0.042370404837076735	0.01812007179515961	0.02741910140578515	0	0.04237040483707675	0.018120071795159613	0.027419101405785046	0.021503483068629065	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Lentimonas;s__uncultured_bacterium	20.763237396565984	2.3578589651877243e-4	0.10445315215781618	FALSE	0	0	0	0	0	0	0	0	0.12666173306232276	0.1533702300093148	0.03613302761911731	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__uncultured_bacterium	20.70599681987806	2.423253361201126e-4	0.10686547322896967	FALSE	0	0	0	0.022336184866737798	0	0	0	0.02233618486673779	0.0032602434030942515	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_Bacteroidetes	2.0839643337655116	0.8896726122040106	1	FALSE	0.19079091481309465	0.12894750348183628	0.17261012942132858	0.1322181660162826	0.046692104213536575	0.12894750348183628	0.17261012942132858	0.13221816601628258	0.012290416822753024	0.02384347764336637	0.01008179004082951	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__uncultured_bacterium	10.905393427821691	0.02449720962851561	1	FALSE	0	0.5216719282839011	0	0.09088966338347473	0	0.521671928283901	0	0.09088966338347469	0.12719279949166198	0.14207041124582265	0.12450220670023376	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	1.939445771233004	0.8298608196515939	1	FALSE	0.001062426866771346	0.009241867421814405	0.021413237920972827	0.15010180098705353	0.08267611972367861	0.009241867421814402	0.02141323792097282	0.15010180098705359	0.01494780610185815	0.1894457131443168	0.14574236115458641	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira;s__uncultured_bacterium	0.14873671405299507	0.02918636081387883	1	FALSE	0.07598614847786592	0.09790110319168337	0.05104982849106648	0.08881565594011952	0.003017095676975399	0.09790110319168337	0.05104982849106647	0.0888156559401195	0.03566450233431604	0.03374126646976629	0.0651443382816571	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage;s__uncultured_bacterium	17.54564070656988	0.0010914009787577961	0.46711961890833675	FALSE	0	0	0	0	0	0	0	0	0.36314529807520435	0.1620243443672052	0.008106126016515265	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Marinobacterium;s__uncultured_Marinobacterium	2.0436970102103853	0.8732261221995188	1	FALSE	0.10092770241861093	0.07733472771232469	0.06702307298072707	0.08380953334174034	0.006953484583253776	0.07733472771232468	0.06702307298072707	0.08380953334174034	0.03532152992799972	0.025583764098828315	0.07597454858139127	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__uncultured_bacterium	4.883568654225335	0.3610481303800907	1	FALSE	0.05236453582424389	0	0.013128293917879919	0.11222058900335286	0.09855921558835712	0	0.013128293917879924	0.11222058900335286	0.044864918227744056	0.20138222879756332	0.09196228987051419	FALSE	FALSE	FALSE	FALSE
