taxon	lfc_SampleSiteCLOACA	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteORAL_SampleSiteCLOACA	lfc_SampleSiteTANK WATER_SampleSiteCLOACA	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteCLOACA	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteORAL_SampleSiteCLOACA	se_SampleSiteTANK WATER_SampleSiteCLOACA	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteCLOACA	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteORAL_SampleSiteCLOACA	W_SampleSiteTANK WATER_SampleSiteCLOACA	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteCLOACA	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteORAL_SampleSiteCLOACA	p_SampleSiteTANK WATER_SampleSiteCLOACA	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteCLOACA	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteORAL_SampleSiteCLOACA	q_SampleSiteTANK WATER_SampleSiteCLOACA	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteCLOACA	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteORAL_SampleSiteCLOACA	diff_SampleSiteTANK WATER_SampleSiteCLOACA	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)	ASVno	Taxon
ddb6bc7ae9ebdca8c6ad102cc0e75b60	1.7092025408286438	3.5890932650441965	1.3069266020433512	1.8798907242155527	-0.40227593878529255	-2.2821666630008455	0.9614238530195056	1.0024397158235665	1.210110222583315	1.0392930461107448	1.240810784380261	1.2728554361513014	1.7777825414468544	3.5803582084689585	1.0800062487310909	1.8088168022007871	-0.3242040961033511	-1.7929503996945413	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.07142981527338957	0	0	0	0.07142981527338958	0	0.04588936131642921	0.19634133970868878	FALSE	FALSE	FALSE	FALSE	v4ASV3012	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Tenacibaculum; s__uncultured_bacterium
40e20fe04424be551c718b7418a0e339	0.4347321190758189	1.1287420726423774	0.09353669249669022	0.6940099535665585	-0.34119542657912866	-1.035205380145687	0.7788420710902266	0.8125304171414949	0.9783720487394441	0.8738992784055358	1.0299058868519018	1.0556120702475036	0.5581774986388176	1.3891690068826272	0.095604420237889	0.7941532516571101	-0.33128796614810674	-0.980668381238733	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.09507063455539126	0.0653198500285288	0.029293115286151954	0.015454824282326812	0.04389634231053905	0.06531985002852882	0.029293115286151954	0.015454824282326812	0.11682433028032793	0.027511405243213872	0.05255153352276229	FALSE	FALSE	FALSE	FALSE	v4ASV8706	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
0a0ec84639fd68c6fd4282b25869be3b	-0.3800556489425799	-0.18802424328973882	-1.628669234292432	0.1920314056528411	-1.2486135853498521	-1.4406449910026933	1.0124261819574876	1.0554916516766515	1.274832194605186	1.0862572964942467	1.3004189370467347	1.334220845540891	-0.37539097241416336	-0.178139015113063	-1.2775557765050238	0.17678261519862498	-0.9601625674457394	-1.079765014778088	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.08874885985195362	0.06013133609240175	0.06999995866818003	0.0720531771547129	0.027344626121612845	0.06013133609240175	0.06999995866818003	0.07205317715471289	0.017207095747231196	0.002508003354572665	0.025927015209070547	FALSE	FALSE	FALSE	FALSE	v4ASV11744	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Nitrincolaceae; g__Marinobacterium; s__uncultured_Marinobacterium
1b603726c5dbced9f87a0f959a61b37a	0.5226234260981356	-0.07623202001669871	-0.049878843854654804	-0.5988554461148343	-0.5725022699527904	0.026353176162043905	0.49017733867591623	0.5122654246336031	0.6120522708412343	0.6266972342213408	0.7105923869192127	0.7260052219310725	1.0661925488229707	-0.1488135180531138	-0.08149441841968645	-0.9555737817463015	-0.8056690171349644	0.03629887963057364	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.22504451675645282	0.36678675677295025	0.060447637264436985	0.026566035185135395	0.4311150599958525	0.36678675677295025	0.060447637264436985	0.0265660351851354	0.6152456914759701	0.3042142127357269	0.06531985598547337	FALSE	FALSE	FALSE	FALSE	v4ASV2752	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Maritimimonas; s__uncultured_marine
ce2d65462972d53fc59870f76fc4f22a	-0.11343157988556782	-0.2297475975776457	0.11852433629860444	-0.11631601769207789	0.23195591618417227	0.34827193387625016	0.6100223941422521	0.6369431797081023	0.7640675632390823	0.7264774639159347	0.8401619680723291	0.8599078005325875	-0.1859465832316912	-0.3607034424686582	0.15512284777035787	-0.16010960211360054	0.27608476103289087	0.40501078564532905	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.04439091416666421	0.06418507799822143	0.041718598786184856	0.024593805777489243	0.003965014526161765	0.06418507799822143	0.041718598786184856	0.024593805777489246	0.05972320546696322	0.024581719035535857	0.06701877789994108	FALSE	FALSE	FALSE	FALSE	v4ASV11182	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Spongiibacteraceae; g__BD1-7_clade; s__uncultured_bacterium
9cde11ddf38ffaaa09a394510e7a3600	0.076958478340935	-0.17878820556049105	0.6755937830861124	-0.2557466839014261	0.5986353047451773	0.8543819886466034	0.5451100858023076	0.5694215236122135	0.6816959124747869	0.6718333436268773	0.7693038977808754	0.7867174543953523	0.14117969992733753	-0.3139821698806192	0.9910486049908651	-0.3806698288012669	0.7781519195106036	1.0860086856764302	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.09980656516182258	0.027759011997636904	0.12412013456993633	0.20525487684539478	0.2497972751983473	0.0277590119976369	0.12412013456993633	0.20525487684539476	0.1946778600850776	0.16405952923136718	0.4357554971711922	FALSE	FALSE	FALSE	FALSE	v4ASV4941	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__PB19; f__PB19; g__PB19; s__uncultured_bacterium
20bb19ca46c90d999878f5bf0f74bfbf	0.03822222171714293	1.2071849433228343	0.2890756789297766	1.1689627216056915	0.25085345721263363	-0.9181092643930577	0.9135431210767265	0.9526359078828445	1.1493449485671716	0.9954713608703869	1.185091502004062	1.2154818003752295	0.04183953754924364	1.2672049555697562	0.25151342013566264	1.17428061474678	0.21167433636004068	-0.7553459575533172	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.07868779137612926	0.01433948983323705	0.06235509152135442	0.019087256637201608	0.029043035546614648	0.01433948983323705	0.06235509152135446	0.019087256637201615	0.00895401442570904	0.046275399603443575	0.06634134154426019	FALSE	FALSE	FALSE	FALSE	v4ASV11118	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Porticoccaceae; g__Porticoccus; s__uncultured_bacterium
0281ea0d17f82f0003eafbf1ff0da4a7	0.46730160613341903	-0.2697761954289306	1.2323223188067263	-0.7370778015623496	0.7650207126733073	1.5020985142356569	0.4865519869430048	0.5084923999899321	0.6074600582245692	0.6237559747650872	0.7067635513704849	0.7220432136618661	0.9604350997916267	-0.5305412537813191	2.0286474840970605	-1.1816765391945794	1.082428078230486	2.0803443420203545	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.1718505129116479	0.18206170542639674	0.10376206786342633	0	0.34675146299194254	0.18206170542639674	0.10376206786342632	0	0.4225638018275649	0.11756017062032445	0	FALSE	FALSE	FALSE	FALSE	v4ASV949	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__Roseimarinus; s__uncultured_Prolixibacter
5630dc18118604eb2ba50557cc36e027	-0.6090442781836939	-1.1170357181075994	-0.7070532906143154	-0.5079914399239055	-0.09800901243062154	0.40998242749328395	0.48930880386908376	0.5113615258668096	0.6109520412189395	0.6259921666473328	0.7096745586792436	0.7250555039647775	-1.2447032903717092	-2.184434419883488	-1.1572975338680263	-0.8114980777548519	-0.13810416511622384	0.5654497141962259	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.17652505855129466	0.23091363151461802	0	0.05095406355157176	0	0.230913631514618	0	0.050954063551571796	0.41552440091429327	0.053614617162195295	0.13540391142595548	FALSE	FALSE	FALSE	FALSE	v4ASV7735	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Maricaulis
a81af95e926034ae2a454da1a81364a4	-2.114643206866186	-1.8323918227814222	-1.9986664897581174	0.2822513840847638	0.11597671710806856	-0.16627466697669524	0.756834214452678	0.7896402780951588	0.9504349244031618	0.854323980332916	1.0048205014364113	1.0297562724892328	-2.7940639660370516	-2.320539964351467	-2.1028967249001362	0.33037979804192674	0.11542033322596174	-0.16146992392166643	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0.1456031429984523	0.030888767173021577	0.06041503419823013	FALSE	FALSE	FALSE	FALSE	v4ASV8923	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
851b96aac9961b613b783db1e40af550	-0.11635187515553949	-0.11925448688594169	1.326627229352325	-0.0029026117304021964	1.4429791045078644	1.4458817162382667	0.6238311291250365	0.6513058999791742	0.7815950267591799	0.7382683808374676	0.8554131239648929	0.8756515918638197	-0.18651181341131617	-0.18310057822254475	1.6973332530697856	-0.003931648443496345	1.6868797825073887	1.6512066324926278	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.1496431482125576	0.1405628370135263	0.023619299601201776	0	0	0.14056283701352631	0.02361929960120178	0	0.14805855802678344	0	0	FALSE	FALSE	FALSE	FALSE	v4ASV8237	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__uncultured; g__uncultured
6fffcac456aafaa62f4c304f05cd2cc9	-0.28825928438083304	-1.0401886327520944	-0.14287318163030172	-0.7519293483712614	0.14538610275053132	0.8973154511217927	0.7285455599923418	0.7602177492865198	0.9145239676938907	0.8293021017713469	0.9727101506403067	0.9966531144306906	-0.39566404657501875	-1.3682772254769546	-0.15622683131047715	-0.9067013658414451	0.14946497952635518	0.9003287484175057	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.029671202492488613	0.04589817449588747	0.1720917698982974	0.009592041488111073	0.13386973448373085	0.04589817449588748	0.17209176989829741	0.009592041488111071	0.21133413151954952	0.042080076963378135	0.10176890069192224	FALSE	FALSE	FALSE	FALSE	v4ASV3871	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Halarcobacter
8c6e8d6c5fc9e95b91800af87979575d	-0.48039760738320825	-0.9463921436036327	-0.7864643231179839	-0.4659945362204244	-0.3060667157347756	0.1599278204856488	0.6408829337482186	0.6690415228766029	0.8032400672377101	0.7529027374210118	0.8743229256396349	0.8951682539402138	-0.7495871431208064	-1.4145491890167539	-0.9791149062354211	-0.6189305909773142	-0.3500614095311113	0.17865671596563343	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.26069687025988897	0.28737225422630847	0.11281695971057416	0.12742487728053412	0.12015923215227485	0.2873722542263085	0.11281695971057423	0.12742487728053417	0.1472686136145743	0.06496309577354611	0.02821682809742699	FALSE	FALSE	FALSE	FALSE	v4ASV3331	d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Balneolales; f__Balneolaceae; g__Balneola
37c03af0c93baa76926221206678ba9e	-0.598612037539204	-1.0726201825230979	-0.4307704454825489	-0.4740081449838939	0.1678415920566551	0.6418497370405489	0.7866233714196563	0.8206237053432158	0.9882495813928635	0.8808421045950893	1.0387958329621114	1.0647740229208495	-0.7609893874102172	-1.3070792076064726	-0.43589236321801456	-0.5381306621369885	0.16157322423796908	0.60280371536474	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.06532005624300039	0.06977213585449073	0.05470994715566733	0.05113501753668022	0.021471321382918466	0.06977213585449074	0.05470994715566732	0.051135017536680205	0.09500354994285802	0.005044537507739454	0.08364255265591676	FALSE	FALSE	FALSE	FALSE	v4ASV11974	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
940985696ce7245039a2d27a15d92de5	0.2957514434301489	0.25694957724212514	0.2607344873688455	-0.03880186618802378	-0.035016956061303395	0.0037849101267203866	0.523125317502208	0.5465495108470705	0.6538127435159748	0.6536418630229471	0.7456556986121833	0.7622720583021584	0.5653548653356862	0.47013046785805646	0.39879076991786244	-0.05936257816868376	-0.046961293431374646	0.004965300886340608	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.24137336647437999	0.1875049921374048	0.07130143122412697	0.03569415989733706	0.014158325027792002	0.1875049921374048	0.07130143122412697	0.03569415989733706	0.18391240437336315	0.06242160497104418	0.06250692192641383	FALSE	FALSE	FALSE	FALSE	v4ASV3701	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__OM27_clade; s__uncultured_bacterium
9951b5bc258e29f0dcc98c34aa09ada5	-0.1418310008414514	0.7882759876789679	0.5601731158154744	0.9301069885204193	0.7020041166569257	-0.22810287186349354	0.7820008979237828	0.8158158930951049	0.9823818548490082	0.8767163964287898	1.0335135108343274	1.0593301393569705	-0.1813693580378406	0.9662424995035902	0.5702193226091017	1.0608983615558125	0.6792403866014455	-0.21532746344964324	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.07775798631470043	0.04895860312475492	0.033801044792855235	0.013583429708548197	0.032923892198626625	0.04895860312475492	0.03380104479285525	0.013583429708548202	0.051287352032755376	0.0756231053000779	0.02683322637688944	FALSE	FALSE	FALSE	FALSE	v4ASV3873	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Halarcobacter
