taxon	lfc_SampleSiteCLOACA	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteORAL_SampleSiteCLOACA	lfc_SampleSiteTANK WATER_SampleSiteCLOACA	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteCLOACA	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteORAL_SampleSiteCLOACA	se_SampleSiteTANK WATER_SampleSiteCLOACA	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteCLOACA	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteORAL_SampleSiteCLOACA	W_SampleSiteTANK WATER_SampleSiteCLOACA	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteCLOACA	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteORAL_SampleSiteCLOACA	p_SampleSiteTANK WATER_SampleSiteCLOACA	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteCLOACA	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteORAL_SampleSiteCLOACA	q_SampleSiteTANK WATER_SampleSiteCLOACA	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteCLOACA	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteORAL_SampleSiteCLOACA	diff_SampleSiteTANK WATER_SampleSiteCLOACA	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	0.28031068714665275	-0.6731541832102192	-0.028405824736269625	-0.953464870356872	-0.3087165118829224	0.6447483584739496	0.7520856096044757	0.7791494553745663	0.9505495803399518	0.8543861539481933	1.013136876701446	1.033386394611768	0.372711142942981	-0.8639602820316532	-0.029883580324248468	-1.1159647964223522	-0.3047135278384461	0.6239179863754395	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.07829923527995622	0.09115663990338843	0.018610230254403583	0.1179941222545434	0.04810456661295156	0.09115663990338843	0.01861023025440357	0.1179941222545434	0.14142057136821712	0.051095231437966813	0.1286635699869939	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group	2.18222165927376	0.3475902100528245	0.7516976500667656	-1.8346314492209357	-1.4305240092069946	0.4041074400139411	0.7604104126983029	0.787817750625353	0.9611062727354005	0.8617806737885784	1.022611553331195	1.0431525302978597	2.8697945515109207	0.4412063700988138	0.7821170992125169	-2.1288844192287235	-1.3988928685061397	0.3873905572548945	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.22781774875929267	0	0.019367850318966182	0.05729206744513158	0	0	0.019367850318966186	0.05729206744513163	0	0.3224371202865952	0.06444878598843722	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured	-1.6655774210555925	-0.5438065218181408	-1.667340364270563	1.1217708992374518	-0.0017629432149706137	-1.1235338424524222	0.7286716455400016	0.7547692858797949	0.9208582145324953	0.8336610238097015	0.9865565766766342	1.0059861762854605	-2.285772242202826	-0.7204937084638442	-1.8106374444594	1.345595952310608	-0.001786966157490284	-1.1168481922892806	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.12923813615924815	0	0	0	0.12923813615924812	0	0	0.11285075734036769	0.07289388391607482	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae;g__Fusibacter	0.6678440758445163	1.0908005037862445	-2.7176903821308263	0.42295642794172816	-3.385534457975343	-3.8084908859170707	0.7806259157437873	0.8088672491908377	0.986741478352145	0.8797907491084024	1.045669297867996	1.0669178445346552	0.8555238333436427	1.3485531833282196	-2.7542070965430177	0.4807466188640432	-3.2376722400457516	-3.569619634188586	0.39226121593877555	0.1774805267830379	0.005883452621787772	0.6306965936154842	0.0012050917091091116	3.574999281737892e-4	1	1	0.1624444191418286	1	0.03447814331386199	0.0105857121589122	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	0.04576224976162241	0.023563880733173233	0.038155605910203005	0	0	0.023563880733173254	0.038155605910203026	0	0.04334934013266199	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190	-1.6299440427992615	0.3525807297035143	-0.18525783412764718	1.9825247725027757	1.4446862086716143	-0.5378385638311615	0.9331585441942467	0.9676844104281089	1.1801609906244959	1.017779043746984	1.2215731772991418	1.2481463364043461	-1.7466957281162414	0.36435507889140284	-0.15697674774830156	1.947893095935687	1.1826440163541967	-0.4309098606022145	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.15810135273543047	0	0.07616810055431443	0.042153221241559444	0	0	0.07616810055431443	0.042153221241559444	0	0.09867419169523235	0.025524827888559354	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__SM2D12	-1.1897538257098468	-0.541012056186109	1.5786651727199237	0.6487417695237377	2.7684189984297705	2.1196772289060326	0.7367915852320356	0.7632243201070118	0.9311551631669998	0.8408361281158384	0.9957630086695259	1.0154769776655013	-1.614776620087431	-0.7088506510251844	1.6953835785548825	0.7715436430847121	2.7801986761174757	2.0873710340326945	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.18138757363962485	0	0.02608809096823634	0.3903284216991703	0	0	0.02608809096823634	0.39032842169917037	0.17326999181394814	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	-0.11135318347456079	1.2786692140648859	0.9019655016672828	1.3900223975394466	1.0133186851418436	-0.37670371239760303	1.002475025019283	1.0398512968768105	1.2680535886137292	1.0814807376308166	1.3024092175066433	1.3313918708161172	-0.11107826199701969	1.2296654511134082	0.7112991988401185	1.2852955666917818	0.7780340245762081	-0.2829397720197067	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.18676881185795666	0.15466534960757047	0.26666530531082494	0.035780587063636675	0.047503170664952576	0.15466534960757047	0.26666530531082494	0.035780587063636696	0.04631472172290413	0.14935584088486883	0.08991090218070966	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	-1.342980200838084	0.34282153422338385	0.01748189104546084	1.6858017350614678	1.3604620918835448	-0.325339643177923	0.6491520795448055	0.6719686255913762	0.8200193619311715	0.7641550600546612	0.8971192094532284	0.9137648972092348	-2.0688221499341117	0.5101749116957337	0.021318875940063698	2.206099027782241	1.5164786101422487	-0.3560430523995347	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0069128818045927146	0	0.04253467116880274	0.0012236577479451322	0	0	0.04253467116880274	0.0012236577479451322	0	0	0.030901558265193866	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus	1.6109194842920134	0.9229446692074446	0.446218487746978	-0.6879748150845688	-1.1647009965450354	-0.4767261814604666	0.8480178260388305	0.8790377670778295	1.072199591859552	0.9403347565097824	1.1230022364781493	1.1466068139534484	1.8996292705505577	1.0499488233316459	0.4161711039015471	-0.7316275510628877	-1.0371315022467433	-0.41577127892405963	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.18858004933818695	0.21067016905746394	0.119117017876426	0.02176050420278082	0.1561983567545515	0.21067016905746405	0.11911701787642602	0.02176050420278082	0.021683002082194244	0.09440201425305268	0.048951981994573374	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	2.78598255534831	1.4277946656545146	0.2995014685060712	-1.3581878896937956	-2.486481086842239	-1.1282931971484436	0.8883330988614452	0.9210138011692903	1.1233212881177577	0.9768849063238534	1.1695676186512678	1.1945790647793575	3.1361913216101436	1.5502424218202064	0.26662137687065224	-1.3903253913552984	-2.125983181468055	-0.9445111089041586	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.35911119167594363	0	0.24274000744834007	0.014374828729452852	0.5131984067106297	0	0.24274000744834004	0.014374828729452852	0.09367068957400364	0.3278086542688862	0.13942299486379947	FALSE	FALSE	FALSE	FALSE
