taxon	lfc_SampleSiteCLOACA	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteORAL_SampleSiteCLOACA	lfc_SampleSiteTANK WATER_SampleSiteCLOACA	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteCLOACA	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteORAL_SampleSiteCLOACA	se_SampleSiteTANK WATER_SampleSiteCLOACA	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteCLOACA	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteORAL_SampleSiteCLOACA	W_SampleSiteTANK WATER_SampleSiteCLOACA	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteCLOACA	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteORAL_SampleSiteCLOACA	p_SampleSiteTANK WATER_SampleSiteCLOACA	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteCLOACA	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteORAL_SampleSiteCLOACA	q_SampleSiteTANK WATER_SampleSiteCLOACA	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteCLOACA	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteORAL_SampleSiteCLOACA	diff_SampleSiteTANK WATER_SampleSiteCLOACA	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group;s__uncultured_bacterium	2.009109637671201	-0.008910841813562434	0.3414594909324601	-2.018020479484764	-1.6676501467387412	0.35037033274602253	0.7021706117543851	0.7295240023928504	0.8926679225478257	0.7977208505189032	0.9492150995591936	0.9696241577471789	2.8612841438228336	-0.012214597167926935	0.3825156951510891	-2.5297326479207327	-1.75687275467192	0.36134653818864376	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.23910375861111752	0	0.05120980652265131	0.029334946336737413	0	0	0.05120980652265131	0.029334946336737427	0	0.35698989272374365	0.09075118759890424	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured;__	-1.378962864678233	-1.1655809320689188	-1.279420019177912	0.21338193260931426	0.09954284550032111	-0.11383908710899315	0.6524891035182232	0.6778161177452349	0.8297247488907953	0.7542144261412594	0.8932233035732221	0.91188844126431845	-2.113388342031861	-1.7196122983121744	-1.5419812665444592	0.28291945262970775	0.11144228447927083	-0.12483883110872325	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0.032572046531633154	0.15459892093868818	0.058445168798089746	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__marine_metagenome	0.4903850346273081	1.3823981947452182	0.9400330638446268	0.8920131601179101	0.4496480292173187	-0.4423651309005914	0.7302085875252503	0.7587055046791539	0.9281903308857372	0.8225201865946731	0.9810416427833534	1.002433123160787	0.6715684299047644	1.822048457826618	1.0127589488543676	1.0844878638309727	0.4583373524711998	-0.44129141453921955	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.268334650146365	0.1448593645742009	0.28453085453041976	0.03667860532940015	0.13019777609048808	0.1448593645742009	0.28453085453041976	0.036678605329400156	0.027085697347043865	0.16076452472564237	0.12879381882744284	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__SM2D12;__	-0.3512075859113173	0.06631098473884933	0.8959505823400374	0.4175185706501666	1.2471581682513548	0.8296395976011881	0.6101910706482278	0.6337931183864364	0.7761353225331329	0.7176685350564547	0.846014449155382	0.8631923437999537	-0.5755698547640445	0.10462559913504488	1.154374187501033	0.5817707622047592	1.4741570542872575	0.961129467331627	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.13622654113666285	0.4255592202107358	0.1315327360927602	0.2425345288950088	0.20095624786007224	0.4255592202107357	0.1315327360927602	0.2425345288950088	0.11450079965562149	0	0.020496963298602427	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_bacterium	0.5566343562596874	1.922531764013215	-1.3544574056520304	1.3658974077535275	-1.9110917619117178	-3.2769891696652453	0.9806257414687696	1.019328010203799	1.2454722189155347	1.0498522118875346	1.2705751148631468	1.3006782346392827	0.5676318015331385	1.886077636215289	-1.0875051125840383	1.3010377958796444	-1.5041155296966138	-2.519446456774187	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.20542920578183593	0.1532990525236171	0.4222988830225447	0.03655942870012558	0.49041847740066824	0.15329905252361709	0.4222988830225447	0.03655942870012558	0.12646727966604926	0.27110127910593446	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__	-1.402228235483174	0.36092931345343776	-0.19106647364111537	1.7631575489366118	1.2111617618420587	-0.5519957870945531	0.6347222831121221	0.6593246824500644	0.807215252060188	0.7388046033112011	0.8733382323845303	0.8913788915794166	-2.209199633905832	0.5474227236757114	-0.23669829472804482	2.3865004915161987	1.3868186653584917	-0.619260554977337	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0018227210931648257	0	0.04484202882199012	0.015432260605878476	0	0	0.04484202882199012	0.01543226060587847	0	0.0809667619878079	0.06262380540683304	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus;__	1.5516714496469235	0.9410524484374971	0.23767012306040128	-0.6106190012094264	-1.3140013265865222	-0.7033823253770959	0.8350709001432708	0.8678432474635434	1.0610477160518899	0.9165922016698137	1.101277266510473	1.1263303741064414	1.8581313866651412	1.0843576316205987	0.2239956973327844	-0.666183936648188	-1.1931612197444976	-0.6244902397621253	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.16849210654675859	0.1884381676644534	0.12296707722747434	0.002039955786258813	0.1569757643840571	0.18843816766445343	0.12296707722747434	0.002039955786258812	0.007565523333951205	0.12682370249974856	0.08358769786785326	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	2.7267345207032205	1.4459024448845679	0.09095310381949437	-1.2808320758186527	-2.6357814168837264	-1.3549493410650735	0.8756212558968617	0.9100461846944372	1.1124255189538046	0.9534446887144653	1.1482000049558283	1.1746636650033357	3.114057022188597	1.588823148981228	0.08176107278178267	-1.3433732349441325	-2.295576907774988	-1.1534785500164644	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.33438974335161525	0	0.24593038535232198	0.003438275463010838	0.5163973583384284	0	0.24593038535232195	0.003438275463010839	0.07274231733400453	0.36872146050003063	0.18314266526161743	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;__	-0.1330073719486815	1.1126605283342028	1.0573409224844057	1.2456679002828843	1.1903482944330872	-0.055319605849797115	0.9607056135553058	0.9985966547537075	1.220231764951955	1.0314659865639564	1.2472739726101976	1.2766880455770873	-0.13844758485011657	1.114224169525811	0.8665082756029033	1.2076674524503541	0.9543599245817815	-0.04333055834700136	1	1	1	1	1	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.24675313414601832	0.3127642895966747	0.30532458499644577	0.07195464425187757	0.10057379270241115	0.3127642895966746	0.3053245849964458	0.07195464425187757	0.07386841304308739	0.28986784188451775	0.09961507398957854	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales;s__uncultured_bacterium	0.5944573344896027	0.882089558770715	3.2254848995129004	0.28763222428111235	2.631027565023298	2.3433953407421853	0.6685313168407162	0.6945126457273625	0.8500491810743195	0.7681979433235865	0.9112430385448708	0.9304716915494677	0.889198934312957	1.2700842298514283	3.794468568790842	0.3744246216498312	2.8872951054031484	2.518502563833884	0.37389617546583936	0.20405462843456496	1.4796002283675122e-4	0.708088427539998	0.003885695939946595	0.01178550255096279	1	1	0.006865345059625256	1	0.17641059567357542	0.5232763132627479	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.5200445090116103	0.24835772107474183	0.12651568977024197	0	0	0.24835772107474183	0.126515689770242	0	0.1618624850943799	0	0	FALSE	FALSE	FALSE	FALSE
