taxon	lfc_(Intercept)	lfc_SampleSiteCLOACA	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	se_(Intercept)	se_SampleSiteCLOACA	se_SampleSiteORAL	se_SampleSiteTANK WATER	W_(Intercept)	W_SampleSiteCLOACA	W_SampleSiteORAL	W_SampleSiteTANK WATER	p_(Intercept)	p_SampleSiteCLOACA	p_SampleSiteORAL	p_SampleSiteTANK WATER	q_(Intercept)	q_SampleSiteCLOACA	q_SampleSiteORAL	q_SampleSiteTANK WATER	diff_(Intercept)	diff_SampleSiteCLOACA	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group;s__uncultured_bacterium	-0.8302801068212332	2.009109637671201	-0.008910841813562434	0.3414594909324601	0.5220052555482735	0.7021706117543851	0.7295240023928504	0.8926679225478257	-1.590558903375737	2.8612841438228336	-0.012214597167926935	0.3825156951510891	0.11170887948302699	0.004219287123451594	0.990254403838505	0.7020788893997125	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.23910375861111752	0	0.05120980652265131	0.029334946336737413	0	0	0.05120980652265131	0.029334946336737427	0	0.35698989272374365	0.09075118759890424	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured;__	0.8222567047237322	-1.378962864678233	-1.1655809320689188	-1.279420019177912	0.48483375569415976	0.6524891035182232	0.6778161177452349	0.8297247488907953	1.6959559747370887	-2.113388342031861	-1.7196122983121744	-1.5419812665444592	0.08989421788114234	0.034567542956198426	0.08550293915415519	0.12307814598387862	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0.032572046531633154	0.15459892093868818	0.058445168798089746	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__marine_metagenome	-0.7991381363109543	0.4903850346273081	1.3823981947452182	0.9400330638446268	0.5429829688654041	0.7302085875252503	0.7587055046791539	0.9281903308857372	-1.4717554364196763	0.6715684299047644	1.822048457826618	1.0127589488543676	0.14108693153419574	0.501858482033419	0.06844763332718894	0.3111753132021147	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.268334650146365	0.1448593645742009	0.28453085453041976	0.03667860532940015	0.13019777609048808	0.1448593645742009	0.28453085453041976	0.036678605329400156	0.027085697347043865	0.16076452472564237	0.12879381882744284	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__SM2D12;__	-0.15430511902866956	-0.3512075859113173	0.06631098473884933	0.8959505823400374	0.4531872017392628	0.6101910706482278	0.6337931183864364	0.7761353225331329	-0.34048869525986225	-0.5755698547640445	0.10462559913504488	1.154374187501033	0.7334885346633548	0.5649059617219341	0.9166729010116819	0.24834679303178453	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.13622654113666285	0.4255592202107358	0.1315327360927602	0.2425345288950088	0.20095624786007224	0.4255592202107357	0.1315327360927602	0.2425345288950088	0.11450079965562149	0	0.020496963298602427	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_bacterium	-0.6533614201614699	0.5566343562596874	1.922531764013215	-1.3544574056520304	0.7303216174361579	0.9806257414687696	1.019328010203799	1.2454722189155347	-0.894621499025509	0.5676318015331385	1.886077636215289	-1.0875051125840383	0.3709894552346632	0.5702850085364919	0.05928449347664546	0.27681364033707584	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.20542920578183593	0.1532990525236171	0.4222988830225447	0.03655942870012558	0.49041847740066824	0.15329905252361709	0.4222988830225447	0.03655942870012558	0.12646727966604926	0.27110127910593446	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__	0.2586541142520385	-1.402228235483174	0.36092931345343776	-0.19106647364111537	0.4715408109403767	0.6347222831121221	0.6593246824500644	0.807215252060188	0.5485296463231125	-2.209199633905832	0.5474227236757114	-0.23669829472804482	0.5833282786226295	0.027160758351767296	0.5840883472408648	0.8128908579844877	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.0018227210931648257	0	0.04484202882199012	0.015432260605878476	0	0	0.04484202882199012	0.01543226060587847	0	0.0809667619878079	0.06262380540683304	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus;__	-0.9281727297277709	1.5516714496469235	0.9410524484374971	0.23767012306040128	0.6214362075229242	0.8350709001432708	0.8678432474635434	1.0610477160518899	-1.4935929359950135	1.8581313866651412	1.0843576316205987	0.2239956973327844	0.1352820468983056	0.06315035865498556	0.27820626148264915	0.8227606512107914	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.16849210654675859	0.1884381676644534	0.12296707722747434	0.002039955786258813	0.1569757643840571	0.18843816766445343	0.12296707722747434	0.002039955786258812	0.007565523333951205	0.12682370249974856	0.08358769786785326	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	-1.4321393183363142	2.7267345207032205	1.4459024448845679	0.09095310381949437	0.6517722248656906	0.8756212558968617	0.9100461846944372	1.1124255189538046	-2.1973003201101924	3.114057022188597	1.588823148981228	0.08176107278178267	0.02799900481750379	0.001845338225841191	0.11210032544083574	0.9348367118119705	1	0.7676607019499354	1	1	FALSE	FALSE	FALSE	FALSE	0.33438974335161525	0	0.24593038535232198	0.003438275463010838	0.5163973583384284	0	0.24593038535232195	0.003438275463010839	0.07274231733400453	0.36872146050003063	0.18314266526161743	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;__	-0.5366933859936812	-0.1330073719486815	1.1126605283342028	1.0573409224844057	0.7154207815240635	0.9607056135553058	0.9985966547537075	1.220231764951955	-0.750178635921592	-0.13844758485011657	1.114224169525811	0.8665082756029033	0.45314712403569973	0.8898866918100716	0.265183029067409	0.38621149009717776	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.24675313414601832	0.3127642895966747	0.30532458499644577	0.07195464425187757	0.10057379270241115	0.3127642895966746	0.3053245849964458	0.07195464425187757	0.07386841304308739	0.28986784188451775	0.09961507398957854	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales;s__uncultured_bacterium	-1.010449346778846	0.5944573344896027	0.882089558770715	3.2254848995129004	0.4968364637570294	0.6685313168407162	0.6945126457273625	0.8500491810743195	-2.0337664815056558	0.889198934312957	1.2700842298514283	3.794468568790842	0.04197514553701997	0.37389617546583936	0.20405462843456496	1.4796002283675122e-4	1	1	1	0.06687793032221155	FALSE	FALSE	FALSE	FALSE	0.5200445090116103	0.24835772107474183	0.12651568977024197	0	0	0.24835772107474183	0.126515689770242	0	0.1618624850943799	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade;s__uncultured_bacterium	0.2010514819206752	-0.4645859345238893	-0.30337987014435097	-0.6717294868214524	0.4975422812246921	0.6694746749822156	0.6954944812170942	0.8512443526151714	0.4040892392618177	-0.693955950665693	-0.43620744425382846	-0.7891147644713085	0.6861470976545491	0.48770983378268207	0.6626862273160279	0.4300449333150304	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.1257554497375626	0.16217235814177566	0.073293751075978	0.09847819207414861	0.03735501715454668	0.16217235814177566	0.07329375107597802	0.0984781920741486	0.04610820479931086	0.08142018624736179	0.1198909825014766	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__uncultured;s__unidentified_marine	-0.13854058244249692	0.0548386185789378	0.13206533549994134	-0.3142107450962547	0.40354369286417924	0.5438305199587329	0.5647286590427966	0.6920543074581738	-0.3433099931737145	0.10083769955224117	0.23385626598761494	-0.45402613885940574	0.731365263702085	0.9196792994361465	0.8150965664844936	0.6498100134243556	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.13936164977965235	0.2601052483614627	0.09631149379147104	0.12775344804426073	0.04104675004597253	0.2601052483614627	0.09631149379147104	0.12775344804426075	0.07504706225251295	0.13295455387467697	0.06973451364856709	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Sneathiella;s__uncultured_bacterium	0.8585011867419556	-1.5948256054887302	-0.8865613364026165	-1.5875576957177062	0.627686419824857	0.8434254762348478	0.8765383397197681	1.0716329838326895	1.3677230534659373	-1.8908909564935392	-1.0114347498890381	-1.4814378800098285	0.171398781019945	0.0586389019013365	0.311808396264678	0.13848992689536527	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.013428046456229966	0	0.09369337253947367	0.1274317044299879	0.014972150852948353	0	0.09369337253947366	0.12743170442998794	0.13338774683290597	0.07362718954732829	0.020874519898516544	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;__	-0.3844457223676589	0.9231855714474516	0.10015327184785046	-0.5298983663973693	0.7335745143917197	0.9849744101917075	1.0238537612240963	1.250982373481573	-0.5240718084194098	0.9372685847419835	0.09781989932635446	-0.42358579755414494	0.6002285958039811	0.3486204183167937	0.9220753057858725	0.6718679148590168	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.1595221353949369	0.2917572638997046	0.23118683833074422	0.009566071467280592	0.10743097772915543	0.2917572638997046	0.2311868383307442	0.009566071467280597	0.004648390582593581	0.28409203670785527	0.15096316226674666	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__	1.097388101358366	-2.755844812396602	-0.8461118322265919	-0.6429662186325302	0.5350738856160957	0.7196375781074592	0.7477033698543577	0.9147974767929814	2.050909474109	-3.8294898657794776	-1.1316143090158906	-0.7028508877031298	0.04027576335085393	1.2840917081571385e-4	0.25779662164769995	0.48214868037928194	1	0.05739889935462409	1	1	FALSE	FALSE	FALSE	FALSE	0	0	0.019329514275872546	0.10223231755312019	0	0	0.01932951427587257	0.1022323175531202	0	0	0.08446469641858687	FALSE	FALSE	FALSE	FALSE
